First_Procedure_Code,amb_acute_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
C391,3,C391,C391: Excision of lesion of conjunctiva,C39,C39: Extirpation of lesion of conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C432,1,C432,C432: Biopsy of lesion of conjunctiva,C43,C43: Other operations on conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C433,1,C433,C433: Removal of foreign body from conjunctiva,C43,C43: Other operations on conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C438,1,C438,C438: Other specified other operations on conjunctiva,C43,C43: Other operations on conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
D021,14,D021,D021: Excision of lesion of external ear,D02,D02: Extirpation of lesion of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D022,1,D022,D022: Destruction of lesion of external ear,D02,D02: Extirpation of lesion of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D028,4,D028,D028: Other specified extirpation of lesion of external ear,D02,D02: Extirpation of lesion of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D038,1,D038,D038: Other specified plastic operations on external ear,D03,D03: Plastic operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D041,5,D041,D041: Drainage of haematoma of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D042,113,D042,D042: Drainage of abscess of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D048,17,D048,D048: Other specified drainage of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D049,11,D049,D049: Unspecified drainage of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D061,13,D061,D061: Biopsy of lesion of external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D062,1,D062,D062: Repair of lobe of external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D063,4,D063,D063: Repair of external ear NEC,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
E204,3,E204,E204: Suction diathermy adenoidectomy,E20,E20: Operations on adenoid,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.6,Live
E238,3,E238,E238: Other specified other open operations on pharynx,E23,E23: Other open operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E248,10,E248,E248: Other specified therapeutic endoscopic operations on pharynx,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E249,2,E249,E249: Unspecified therapeutic endoscopic operations on pharynx,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E251,18,E251,E251: Diagnostic endoscopic examination of nasopharynx and biopsy of lesion of nasopharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E252,13,E252,E252: Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E253,2211,E253,E253: Diagnostic endoscopic examination of nasopharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E258,75,E258,E258: Other specified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E259,2714,E259,E259: Unspecified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E271,2,E271,E271: Open biopsy of lesion of pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
C873,1,C873,C873: Tomography evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C875,1,C875,C875: Scanning laser ophthalmoscopy evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C878,1,C878,C878: Other specified evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
E122,3,E122,E122: Drainage of maxillary antrum using sublabial approach,E12,E12: Operations on maxillary antrum using sublabial approach,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E128,2,E128,E128: Other specified operations on maxillary antrum using sublabial approach,E12,E12: Operations on maxillary antrum using sublabial approach,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E131,10,E131,E131: Drainage of maxillary antrum NEC,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E132,3,E132,E132: Excision of lesion of maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E133,8,E133,E133: Intranasal antrostomy,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E134,2,E134,E134: Biopsy of lesion of maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E135,3,E135,E135: Closure of fistula between maxillary antrum and mouth,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E136,8,E136,E136: Puncture of maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E138,1,E138,E138: Other specified other operations on maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E142,3,E142,E142: Intranasal ethmoidectomy,E14,E14: Operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E143,1,E143,E143: External ethmoidectomy,E14,E14: Operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E147,1,E147,E147: Median drainage of frontal sinus,E14,E14: Operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.3,Live
E148,1,E148,E148: Other specified operations on frontal sinus,E14,E14: Operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E162,3,E162,E162: Drainage of frontal sinus NEC,E16,E16: Other operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.7,Live
E173,1,E173,E173: Biopsy of lesion of nasal sinus NEC,E17,E17: Operations on unspecified nasal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E178,5,E178,E178: Other specified operations on unspecified nasal sinus,E17,E17: Operations on unspecified nasal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E201,3,E201,E201: Total adenoidectomy,E20,E20: Operations on adenoid,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E632,7,E632,E632: Endobronchial ultrasound examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.5,Live
E634,1,E634,E634: Endoscopic ultrasound examination of mediastinum and biopsy of lesion of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.9,Live
E639,1,E639,E639: Unspecified diagnostic endoscopic examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E641,2,E641,E641: Endoscopic extirpation of lesion of nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E648,1,E648,E648: Other specified therapeutic endoscopic operations on nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
A552,1,A552,A552: Spinal myelography NEC,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A553,10,A553,A553: Spinal manometry,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A558,25,A558,A558: Other specified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A559,11591,A559,A559: Unspecified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A577,2,A577,A577: Injection of therapeutic substance around spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.4,Live
A598,1,A598,A598: Other specified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A599,8,A599,A599: Unspecified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B222,1,B222,B222: Bilateral adrenalectomy NEC,B22,B22: Excision of adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
B274,3,B274,B274: Total mastectomy NEC,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B278,1,B278,B278: Other specified total excision of breast,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B279,1,B279,B279: Unspecified total excision of breast,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B288,4,B288,B288: Other specified other excision of breast,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B298,2,B298,B298: Other specified reconstruction of breast,B29,B29: Reconstruction of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C112,1,C112,C112: Destruction of lesion of canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C115,1,C115,C115: Graft of skin to canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C116,3,C116,C116: Canthotomy,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C117,1,C117,C117: Biopsy of lesion of canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.4,Live
C118,1,C118,C118: Other specified operations on canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C121,23,C121,C121: Excision of lesion of eyelid NEC,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C151,1,C151,C151: Correction of ectropion NEC,C15,C15: Correction of deformity of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C162,1,C162,C162: Lateral tarsorrhaphy,C16,C16: Other plastic repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C164,1,C164,C164: Tarsorrhaphy NEC,C16,C16: Other plastic repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C171,4,C171,C171: Suture of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C179,1,C179,C179: Unspecified other repair of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C692,1,C692,C692: Paracentesis of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C694,2,C694,C694: Irrigation of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C712,1,C712,C712: Phacoemulsification of lens,C71,C71: Extracapsular extraction of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C734,1,C734,C734: Capsulotomy of lens NEC,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
E272,85,E272,E272: Drainage of retropharyngeal abscess,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E273,3,E273,E273: Incision of pharynx NEC,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E276,10,E276,E276: Examination of pharynx under anaesthetic,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E278,37,E278,E278: Other specified other operations on pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E298,1,E298,E298: Other specified excision of larynx,E29,E29: Excision of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E891,21,E891,E891: Clearance of secretions of respiratory tract NEC,E89,E89: Other respiratory support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E893,28,E893,E893: Nebuliser therapy,E89,E89: Other respiratory support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
