First_Procedure_Code,eol_broad_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A032,6,A032,A032: Stereotactic ablation of tissue of thalamus,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A038,3,A038,A038: Other specified stereotactic ablation of tissue of brain,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A041,587,A041,A041: Open biopsy of lesion of tissue of frontal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A042,321,A042,A042: Open biopsy of lesion of tissue of temporal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A043,323,A043,A043: Open biopsy of lesion of tissue of parietal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A044,47,A044,A044: Open biopsy of lesion of tissue of occipital lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A045,45,A045,A045: Open biopsy of lesion of tissue of cerebellum,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A046,26,A046,A046: Open biopsy of lesion of tissue of brain stem,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A048,150,A048,A048: Other specified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A049,27,A049,A049: Unspecified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A051,102,A051,A051: Drainage of abscess of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A052,70,A052,A052: Evacuation of haematoma from temporal lobe of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A053,85,A053,A053: Evacuation of haematoma from cerebellum,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A054,435,A054,A054: Evacuation of intracerebral haematoma NEC,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A058,34,A058,A058: Other specified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A059,2,A059,A059: Unspecified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A072,7,A072,A072: Removal of foreign body from tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A073,3,A073,A073: Exploration of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A362,1,A362,A362: Anastomosis of cranial nerve NEC,A36,A36: Other operations on cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A363,8,A363,A363: Biopsy of lesion of cranial nerve,A36,A36: Other operations on cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A365,32,A365,A365: Denervation of trigeminal nerve (v),A36,A36: Other operations on cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.4,Live
A368,28,A368,A368: Other specified other operations on cranial nerve,A36,A36: Other operations on cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A381,85,A381,A381: Extirpation of lesion of meninges of cortex of brain,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A382,64,A382,A382: Extirpation of lesion of meninges of sphenoidal ridge of cranium,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A383,42,A383,A383: Extirpation of lesion of meninges of subfrontal region of brain,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A384,44,A384,A384: Extirpation of lesion of meninges of parasagittal region of brain,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A385,24,A385,A385: Extirpation of lesion of falx cerebri,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A386,18,A386,A386: Extirpation of lesion of tentorium cerebelli,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A388,89,A388,A388: Other specified extirpation of lesion of meninges of brain,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A389,13,A389,A389: Unspecified extirpation of lesion of meninges of brain,A38,A38: Extirpation of lesion of meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A391,1,A391,A391: Repair of meningoencephalocele,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A392,3,A392,A392: Repair of dura of anterior fossa of cranium,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A393,2,A393,A393: Repair of dura of middle fossa of cranium,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A394,3,A394,A394: Repair of dura of posterior fossa of cranium,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A395,1,A395,A395: Repair of dura of vault of cranium,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A398,11,A398,A398: Other specified repair of dura,A39,A39: Repair of dura,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
G437,8260,G437,G437: Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,G43,G43: Fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.3,Live
G447,520,G447,G447: Fibreoptic endoscopic removal of gastrostomy tube,G44,G44: Other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.4,Live
L919,1,L919,L919: Unspecified other vein related operations,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
A243,1,A243,A243: Microsurgical graft to facial nerve (vii) NEC,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A248,1,A248,A248: Other specified graft to cranial nerve,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A255,1,A255,A255: Intracranial transection of acoustic nerve (viii),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A263,22,A263,A263: Intracranial destruction of trigeminal nerve (v),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A264,1,A264,A264: Intracranial destruction of facial nerve (vii),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A268,1,A268,A268: Intracranial destruction of specified cranial nerve NEC,A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A278,1,A278,A278: Other specified extracranial extirpation of vagus nerve (x),A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A279,1,A279,A279: Unspecified extracranial extirpation of vagus nerve (x),A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A288,3,A288,A288: Other specified extracranial extirpation of other cranial nerve,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A291,1,A291,A291: Excision of lesion of optic nerve (ii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A295,27,A295,A295: Excision of lesion of acoustic nerve (viii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A298,4,A298,A298: Excision of lesion of specified cranial nerve NEC,A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A606,61,A606,A606: Selective denervation of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.3,Live
A608,5,A608,A608: Other specified destruction of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A611,61,A611,A611: Excision of lesion of peripheral nerve,A61,A61: Extirpation of lesion of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A612,7,A612,A612: Cryotherapy to lesion of peripheral nerve,A61,A61: Extirpation of lesion of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A613,1,A613,A613: Radiotherapy to lesion of peripheral nerve,A61,A61: Extirpation of lesion of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A614,2,A614,A614: Destruction of lesion of peripheral nerve NEC,A61,A61: Extirpation of lesion of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A621,3,A621,A621: Primary microsurgical graft to peripheral nerve,A62,A62: Microsurgical repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A623,2,A623,A623: Microsurgical graft to peripheral nerve NEC,A62,A62: Microsurgical repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A624,70,A624,A624: Primary microsurgical repair of peripheral nerve NEC,A62,A62: Microsurgical repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A454,12,A454,A454: Open biopsy of lesion of spinal cord,A45,A45: Other open operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A484,29,A484,A484: Attention to spinal cord neurostimulator NEC,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
L949,4,L949,L949: Unspecified therapeutic transluminal operations on vein,L94,L94: Therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
A074,8,A074,A074: Excision of abscess of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A077,1,A077,A077: Partial callosotomy,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A078,15,A078,A078: Other specified other open operations on tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A081,802,A081,A081: Biopsy of lesion of tissue of frontal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A082,384,A082,A082: Biopsy of lesion of tissue of temporal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A083,458,A083,A083: Biopsy of lesion of tissue of parietal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A084,74,A084,A084: Biopsy of lesion of tissue of occipital lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A085,65,A085,A085: Biopsy of lesion of tissue of cerebellum NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A086,44,A086,A086: Biopsy of lesion of tissue of brain stem NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A088,355,A088,A088: Other specified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A089,59,A089,A089: Unspecified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A091,12,A091,A091: Implantation of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A092,90,A092,A092: Maintenance of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A093,10,A093,A093: Removal of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A094,6,A094,A094: Operation on brain neurostimulator NEC,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A098,26,A098,A098: Other specified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A099,1,A099,A099: Unspecified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A102,78,A102,A102: Aspiration of abscess of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A103,39,A103,A103: Aspiration of haematoma of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A104,162,A104,A104: Aspiration of lesion of tissue of brain NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A107,1525,A107,A107: Stereotactic radiosurgery on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A108,7,A108,A108: Other specified other operations on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
C474,127,C474,C474: Gluing of cornea,C47,C47: Closure of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
L716,207,L716,L716: Percutaneous transluminal thrombolysis of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L721,337,L721,L721: Arteriography NEC,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
A131,39,A131,A131: Maintenance of proximal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A132,41,A132,A132: Maintenance of distal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A133,2,A133,A133: Insertion of antisyphon device into cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A134,48,A134,A134: Renewal of valve of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A138,34,A138,A138: Other specified attention to component of connection from ventricle of brain,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A141,16,A141,A141: Renewal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A142,100,A142,A142: Revision of cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A143,44,A143,A143: Removal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A144,19,A144,A144: Irrigation of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A145,74,A145,A145: Attention to cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A148,43,A148,A148: Other specified other operations on connection from ventricle of brain,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A161,90,A161,A161: Open drainage of ventricle of brain NEC,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A168,41,A168,A168: Other specified other open operations on ventricle of brain,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A171,16,A171,A171: Endoscopic extirpation of lesion of ventricle of brain,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A172,114,A172,A172: Endoscopic third ventriculostomy,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.5,Live
A178,13,A178,A178: Other specified therapeutic endoscopic operations on ventricle of brain,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A181,24,A181,A181: Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain,A18,A18: Diagnostic endoscopic examination of ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A188,2,A188,A188: Other specified diagnostic endoscopic examination of ventricle of brain,A18,A18: Diagnostic endoscopic examination of ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
L746,383,L746,L746: Creation of graft fistula for dialysis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L761,1,L761,L761: Endovascular placement of one metallic stent,L76,L76: Endovascular placement of stent,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
A313,2,A313,A313: Intracranial stereotactic neurolysis of trigeminal nerve (v),A31,A31: Intracranial stereotactic release of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A321,1,A321,A321: Decompression of optic nerve (ii),A32,A32: Other decompression of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A323,7,A323,A323: Decompression of trigeminal nerve (v),A32,A32: Other decompression of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A324,3,A324,A324: Decompression of facial nerve (vii),A32,A32: Other decompression of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A331,10,A331,A331: Implantation of cranial nerve neurostimulator,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A332,26,A332,A332: Maintenance of cranial nerve neurostimulator,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A333,2,A333,A333: Removal of cranial nerve neurostimulator,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A334,1,A334,A334: Insertion of neurostimulator electrodes adjacent to the cranial nerve,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.3,Live
A341,1,A341,A341: Exploration of optic nerve (ii),A34,A34: Exploration of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A343,1,A343,A343: Exploration of trigeminal nerve (v),A34,A34: Exploration of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A345,1,A345,A345: Exploration of acoustic nerve (viii),A34,A34: Exploration of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A762,6,A762,A762: Chemical destruction of thoracic sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A763,56,A763,A763: Chemical destruction of lumbar sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A765,87,A765,A765: Chemical destruction of splanchnic sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A768,19,A768,A768: Other specified chemical destruction of sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A769,11,A769,A769: Unspecified chemical destruction of sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A772,1,A772,A772: Cryotherapy to thoracic sympathetic nerve,A77,A77: Cryotherapy to sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A775,4,A775,A775: Cryotherapy to splanchnic sympathetic nerve,A77,A77: Cryotherapy to sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A782,4,A782,A782: Radiofrequency controlled thermal destruction of thoracic sympathetic nerve,A78,A78: Radiofrequency controlled thermal destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A783,12,A783,A783: Radiofrequency controlled thermal destruction of lumbar sympathetic nerve,A78,A78: Radiofrequency controlled thermal destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A785,43,A785,A785: Radiofrequency controlled thermal destruction of splanchnic sympathetic nerve,A78,A78: Radiofrequency controlled thermal destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A788,13,A788,A788: Other specified radiofrequency controlled thermal destruction of sympathetic nerve,A78,A78: Radiofrequency controlled thermal destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A401,103,A401,A401: Evacuation of extradural haematoma,A40,A40: Drainage of extradural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A408,20,A408,A408: Other specified drainage of extradural space,A40,A40: Drainage of extradural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A411,2966,A411,A411: Evacuation of subdural haematoma,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A412,75,A412,A412: Drainage of abscess of subdural space,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A418,34,A418,A418: Other specified drainage of subdural space,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A419,7,A419,A419: Unspecified drainage of subdural space,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A422,32,A422,A422: Biopsy of lesion of meninges of brain,A42,A42: Other operations on meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
