First_Procedure_Code,frail_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
C115,2,C115,C115: Graft of skin to canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C116,53,C116,C116: Canthotomy,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C118,27,C118,C118: Other specified operations on canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C121,5,C121,C121: Excision of lesion of eyelid NEC,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C122,1,C122,C122: Cauterisation of lesion of eyelid,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C124,1,C124,C124: Curettage of lesion of eyelid,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C126,1,C126,C126: Wedge excision of lesion of eyelid,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.3,Live
C128,5,C128,C128: Other specified extirpation of lesion of eyelid,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C141,6,C141,C141: Flap of skin to eyelid,C14,C14: Reconstruction of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C867,3,C867,C867: Injection of therapeutic substance around the eye,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C868,3,C868,C868: Other specified other operations on eye,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C873,5,C873,C873: Tomography evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C875,2,C875,C875: Scanning laser ophthalmoscopy evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C878,1,C878,C878: Other specified evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C891,1,C891,C891: Insertion of sustained release device into posterior segment of eye,C89,C89: Operations on posterior segment of eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C892,1,C892,C892: Injection of steroid into posterior segment of eye,C89,C89: Operations on posterior segment of eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C893,2,C893,C893: Injection of therapeutic substance into posterior segment of eye NEC,C89,C89: Operations on posterior segment of eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
E131,1,E131,E131: Drainage of maxillary antrum NEC,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E136,1,E136,E136: Puncture of maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E138,1,E138,E138: Other specified other operations on maxillary antrum,E13,E13: Other operations on maxillary antrum,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E148,2,E148,E148: Other specified operations on frontal sinus,E14,E14: Operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E158,1,E158,E158: Other specified operations on sphenoid sinus,E15,E15: Operations on sphenoid sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E162,2,E162,E162: Drainage of frontal sinus NEC,E16,E16: Other operations on frontal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.7,Live
E173,3,E173,E173: Biopsy of lesion of nasal sinus NEC,E17,E17: Operations on unspecified nasal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E178,3,E178,E178: Other specified operations on unspecified nasal sinus,E17,E17: Operations on unspecified nasal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E191,2,E191,E191: Total pharyngectomy,E19,E19: Excision of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E192,1,E192,E192: Partial pharyngectomy,E19,E19: Excision of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E199,1,E199,E199: Unspecified excision of pharynx,E19,E19: Excision of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E201,1,E201,E201: Total adenoidectomy,E20,E20: Operations on adenoid,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E618,1,E618,E618: Other specified open operations on mediastinum,E61,E61: Open operations on mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E631,7,E631,E631: Diagnostic endoscopic examination of mediastinum and biopsy of lesion of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E632,133,E632,E632: Endobronchial ultrasound examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.5,Live
E633,2,E633,E633: Endo-oesophageal ultrasound examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.5,Live
E634,39,E634,E634: Endoscopic ultrasound examination of mediastinum and biopsy of lesion of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.9,Live
C142,3,C142,C142: Graft of skin to eyelid,C14,C14: Reconstruction of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C149,3,C149,C149: Unspecified reconstruction of eyelid,C14,C14: Reconstruction of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C151,3,C151,C151: Correction of ectropion NEC,C15,C15: Correction of deformity of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C152,2,C152,C152: Correction of entropion NEC,C15,C15: Correction of deformity of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C162,3,C162,C162: Lateral tarsorrhaphy,C16,C16: Other plastic repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C163,2,C163,C163: Medial tarsorrhaphy,C16,C16: Other plastic repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C164,11,C164,C164: Tarsorrhaphy NEC,C16,C16: Other plastic repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C171,550,C171,C171: Suture of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C178,52,C178,C178: Other specified other repair of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C179,13,C179,C179: Unspecified other repair of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C664,1,C664,C664: Laser photocoagulation of ciliary body,C66,C66: Extirpation of ciliary body,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C692,4,C692,C692: Paracentesis of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C693,4,C693,C693: Injection into anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C694,2,C694,C694: Irrigation of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C698,1,C698,C698: Other specified other operations on anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C712,1,C712,C712: Phacoemulsification of lens,C71,C71: Extracapsular extraction of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C732,1,C732,C732: Capsulotomy of anterior lens capsule,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C733,14,C733,C733: Capsulotomy of posterior lens capsule,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C734,4,C734,C734: Capsulotomy of lens NEC,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C738,1,C738,C738: Other specified incision of capsule of lens,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C751,46,C751,C751: Insertion of prosthetic replacement for lens NEC,C75,C75: Prosthesis of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
D268,2,D268,D268: Other specified operations on vestibular apparatus,D26,D26: Operations on vestibular apparatus,D22-D28,D22-D28: Inner ear and eustachian canal,D,D: Ear,4.2,Live
D282,4,D282,D282: Examination of ear under anaesthetic,D28,D28: Other operations on ear,D22-D28,D22-D28: Inner ear and eustachian canal,D,D: Ear,4.2,Live
D288,14,D288,D288: Other specified other operations on ear,D28,D28: Other operations on ear,D22-D28,D22-D28: Inner ear and eustachian canal,D,D: Ear,4.2,Live
E018,1,E018,E018: Other specified excision of nose,E01,E01: Excision of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E026,1,E026,E026: Rhinoplasty NEC,E02,E02: Plastic operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E027,2,E027,E027: Alar reconstruction with cartilage graft,E02,E02: Plastic operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.3,Live
E028,5,E028,E028: Other specified plastic operations on nose,E02,E02: Plastic operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E638,1,E638,E638: Other specified diagnostic endoscopic examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E639,1,E639,E639: Unspecified diagnostic endoscopic examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E641,2,E641,E641: Endoscopic extirpation of lesion of nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E648,3,E648,E648: Other specified therapeutic endoscopic operations on nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E649,1,E649,E649: Unspecified therapeutic endoscopic operations on nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E651,11,E651,E651: Diagnostic endoscopic examination of nasal cavity and biopsy of lesion of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E658,4,E658,E658: Other specified diagnostic endoscopic examination of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E659,893,E659,E659: Unspecified diagnostic endoscopic examination of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E661,4,E661,E661: Flap of skin to external nose,E66,E66: Other operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.8,Live
E668,1,E668,E668: Other specified other operations on external nose,E66,E66: Other operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.8,Live
E669,1,E669,E669: Unspecified other operations on external nose,E66,E66: Other operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.8,Live
E851,12604,E851,E851: Invasive ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E852,47885,E852,E852: Non-invasive ventilation NEC,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E853,40,E853,E853: Improving efficiency of ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E854,393,E854,E854: Bag valve mask ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E855,1393,E855,E855: Nebuliser ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E856,7293,E856,E856: Continuous positive airway pressure,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.9,Live
E858,249,E858,E858: Other specified ventilation support,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E859,113,E859,E859: Unspecified ventilation support,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E871,5,E871,E871: Home oxygen support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E872,14,E872,E872: Long term oxygen assessment,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E878,15,E878,E878: Other specified oxygen therapy support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E879,16,E879,E879: Unspecified oxygen therapy support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
F349,1,F349,F349: Unspecified excision of tonsil,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
E029,1,E029,E029: Unspecified plastic operations on nose,E02,E02: Plastic operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E033,1,E033,E033: Biopsy of lesion of septum of nose,E03,E03: Operations on septum of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
