First_Procedure_Code,falls_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
D073,4,D073,D073: Removal of foreign body from external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D078,4,D078,D078: Other specified clearance of external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D083,1,D083,D083: Drainage of external auditory canal,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
E232,1,E232,E232: Operations on pharyngeal pouch,E23,E23: Other open operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E252,2,E252,E252: Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E253,10,E253,E253: Diagnostic endoscopic examination of nasopharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E259,21,E259,E259: Unspecified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E274,3,E274,E274: Removal of foreign body from pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E591,6,E591,E591: Needle biopsy of lesion of lung,E59,E59: Other operations on lung,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E593,1,E593,E593: Biopsy of lesion of lung NEC,E59,E59: Other operations on lung,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
F205,3,F205,F205: Suture of gingiva,F20,F20: Operations on gingiva,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
G458,1,G458,G458: Other specified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,G45,G45: Diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G459,711,G459,G459: Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,G45,G45: Diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G462,16,G462,G462: Fibreoptic endoscopic coagulation of bleeding lesion of upper gastrointestinal tract NEC,G46,G46: Therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.8,Live
G463,1,G463,G463: Fibreoptic endoscopic coagulation of bleeding lesion of upper gastrointestinal tract using haemostatic spray,G46,G46: Therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.10,Live
G472,1,G472,G472: Intubation of stomach for pressure manometry,G47,G47: Intubation of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G473,2,G473,G473: Irrigation of stomach,G47,G47: Intubation of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G474,1,G474,G474: Intubation of stomach for study of gastric secretion,G47,G47: Intubation of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G475,339,G475,G475: Insertion of nasogastric tube,G47,G47: Intubation of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.9,Live
G478,5,G478,G478: Other specified intubation of stomach,G47,G47: Intubation of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
H071,1,H071,H071: Right hemicolectomy and end to end anastomosis of ileum to colon,H07,H07: Other excision of right hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H072,2,H072,H072: Right hemicolectomy and side to side anastomosis of ileum to transverse colon,H07,H07: Other excision of right hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H073,1,H073,H073: Right hemicolectomy and anastomosis NEC,H07,H07: Other excision of right hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H074,2,H074,H074: Right hemicolectomy and ileostomy HFQ,H07,H07: Other excision of right hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H079,2,H079,H079: Unspecified other excision of right hemicolon,H07,H07: Other excision of right hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H095,1,H095,H095: Left hemicolectomy and exteriorisation of bowel NEC,H09,H09: Excision of left hemicolon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H103,1,H103,H103: Sigmoid colectomy and anastomosis NEC,H10,H10: Excision of sigmoid colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H273,1,H273,H273: Endoscopic insertion of tubal prosthesis into sigmoid colon using rigid sigmoidoscope,H27,H27: Other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H275,2,H275,H275: Endoscopic decompression of sigmoid colon using rigid sigmoidoscope,H27,H27: Other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.9,Live
H281,4,H281,H281: Diagnostic endoscopic examination of sigmoid colon and biopsy of lesion of sigmoid colon using rigid sigmoidoscope,H28,H28: Diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H289,5,H289,H289: Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope,H28,H28: Diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H298,1,H298,H298: Other specified subtotal excision of colon,H29,H29: Subtotal excision of colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.3,Live
H303,12,H303,H303: Passage of flatus tube to reduce volvulus of sigmoid colon,H30,H30: Other operations on colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H304,5,H304,H304: Intubation of colon NEC,H30,H30: Other operations on colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H625,8,H625,H625: Irrigation of bowel NEC,H62,H62: Other operations on bowel,H47-H73,H47-H73: Anus and perianal region,H,H: Lower Digestive System,4.2,Live
H626,3,H626,H626: Proctoscopy,H62,H62: Other operations on bowel,H47-H73,H47-H73: Anus and perianal region,H,H: Lower Digestive System,4.6,Live
H628,2,H628,H628: Other specified other operations on bowel,H62,H62: Other operations on bowel,H47-H73,H47-H73: Anus and perianal region,H,H: Lower Digestive System,4.2,Live
J211,1,J211,J211: Open removal of calculus from gall bladder,J21,J21: Incision of gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J212,1,J212,J212: Drainage of gall bladder,J21,J21: Incision of gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J241,4,J241,J241: Percutaneous drainage of gall bladder,J24,J24: Therapeutic percutaneous operations on gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J248,1,J248,J248: Other specified therapeutic percutaneous operations on gall bladder,J24,J24: Therapeutic percutaneous operations on gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J459,1,J459,J459: Unspecified diagnostic endoscopic retrograde examination of pancreatic duct,J45,J45: Diagnostic endoscopic retrograde examination of pancreatic duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J461,1,J461,J461: Percutaneous dilation of anastomosis of bile duct and insertion of tubal prosthesis HFQ,J46,J46: Therapeutic percutaneous attention to connection of bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J486,2,J486,J486: Percutaneous transhepatic biliary drainage single,J48,J48: Other therapeutic percutaneous operations on bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
K355,1,K355,K355: Percutaneous transluminal valvuloplasty,K35,K35: Therapeutic transluminal operations on valve of heart,K25-K38,K25-K38: Valves of heart and adjacent structures,K,K: Heart,4.2,Live
K592,1,K592,K592: Implantation of cardioverter defibrillator using two electrode leads,K59,K59: Cardioverter defibrillator introduced through the vein,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K596,4,K596,K596: Implantation of cardioverter defibrillator using three electrode leads,K59,K59: Cardioverter defibrillator introduced through the vein,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.5,Live
A011,1,A011,A011: Hemispherectomy,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A052,1,A052,A052: Evacuation of haematoma from temporal lobe of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A365,1,A365,A365: Denervation of trigeminal nerve (v),A36,A36: Other operations on cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.4,Live
A411,2,A411,A411: Evacuation of subdural haematoma,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A428,1,A428,A428: Other specified other operations on meninges of brain,A42,A42: Other operations on meninges of brain,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A812,10,A812,A812: Injection of therapeutic substance around sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.4,Live
A818,2,A818,A818: Other specified other operations on sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
C405,1,C405,C405: Suture of conjunctiva,C40,C40: Repair of conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C758,1,C758,C758: Other specified prosthesis of lens,C75,C75: Prosthesis of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C794,11,C794,C794: Injection into vitreous body NEC,C79,C79: Operations on vitreous body,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
D151,1,D151,D151: Myringotomy with insertion of ventilation tube through tympanic membrane,D15,D15: Drainage of middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D152,4,D152,D152: Suction clearance of middle ear,D15,D15: Drainage of middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D201,3,D201,D201: Biopsy of lesion of middle ear,D20,D20: Other operations on middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
E491,1,E491,E491: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and biopsy of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E492,5,E492,E492: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and lavage of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.3,Live
E493,1,E493,E493: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and brush cytology of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
E494,1,E494,E494: Diagnostic fibreoptic endoscopic examination of lower respiratory tract with lavage and brush cytology of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
E495,2,E495,"E495: Diagnostic fibreoptic endoscopic examination of lower respiratory tract with biopsy, lavage and brush cytology of lesion of lower respiratory tract",E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
E498,1,E498,E498: Other specified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E499,2,E499,E499: Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
F095,2,F095,F095: Surgical removal of retained root of tooth,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F103,1,F103,F103: Lower dental clearance,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F104,7,F104,F104: Extraction of multiple teeth NEC,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F105,3,F105,F105: Extraction of retained root of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.9,Live
F109,5,F109,F109: Unspecified simple extraction of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F421,1,F421,F421: Biopsy of lesion of mouth NEC,F42,F42: Other operations on mouth,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
F428,1,F428,F428: Other specified other operations on mouth,F42,F42: Other operations on mouth,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
G151,2,G151,G151: Fibreoptic endoscopic removal of foreign body from oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G152,4,G152,G152: Fibreoptic endoscopic balloon dilation of oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G154,1,G154,G154: Fibreoptic endoscopic insertion of tubal prosthesis into oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G157,1,G157,G157: Fibreoptic endoscopic insertion of expanding covered metal stent into oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.3,Live
G158,1,G158,G158: Other specified other therapeutic fibreoptic endoscopic operations on oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G161,1,G161,G161: Diagnostic fibreoptic endoscopic examination of oesophagus and biopsy of lesion of oesophagus,G16,G16: Diagnostic fibreoptic endoscopic examination of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G169,10,G169,G169: Unspecified diagnostic fibreoptic endoscopic examination of oesophagus,G16,G16: Diagnostic fibreoptic endoscopic examination of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G181,1,G181,G181: Endoscopic removal of foreign body from oesophagus using rigid oesophagoscope,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G336,1,G336,G336: Attention to connection of stomach to jejunum,G33,G33: Other connection of stomach to jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.3,Live
G342,3,G342,G342: Creation of temporary gastrostomy,G34,G34: Artificial opening into stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G604,1,G604,G604: Attention to jejunostomy tube,G60,G60: Artificial opening into jejunum,G58-G67,G58-G67: Jejunum,G,G: Upper Digestive System,4.9,Live
G643,2,G643,G643: Endoscopic insertion of tubal prosthesis into jejunum,G64,G64: Therapeutic endoscopic operations on jejunum,G58-G67,G58-G67: Jejunum,G,G: Upper Digestive System,4.2,Live
G675,7,G675,G675: Insertion of nasojejunal tube,G67,G67: Other operations on jejunum,G58-G67,G58-G67: Jejunum,G,G: Upper Digestive System,4.9,Live
G678,1,G678,G678: Other specified other operations on jejunum,G67,G67: Other operations on jejunum,G58-G67,G58-G67: Jejunum,G,G: Upper Digestive System,4.2,Live
G699,1,G699,G699: Unspecified excision of ileum,G69,G69: Excision of ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
H173,2,H173,H173: Open reduction of volvulus of sigmoid colon,H17,H17: Intra-abdominal manipulation of colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H198,1,H198,H198: Other specified other open operations on colon,H19,H19: Other open operations on colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
A145,1,A145,A145: Attention to cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A201,1,A201,A201: Drainage of ventricle of brain NEC,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A528,38,A528,A528: Other specified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A529,3,A529,A529: Unspecified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A543,1,A543,A543: Implantation of intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A544,1,A544,A544: Attention to intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A548,1,A548,A548: Other specified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A552,3,A552,A552: Spinal myelography NEC,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A553,3,A553,A553: Spinal manometry,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A559,163,A559,A559: Unspecified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A575,1,A575,A575: Destruction of spinal nerve root NEC,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A577,60,A577,A577: Injection of therapeutic substance around spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.4,Live
A578,2,A578,A578: Other specified operations on spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A604,1,A604,A604: Radiofrequency controlled thermal destruction of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A605,6,A605,A605: Injection of destructive substance into peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A841,109,A841,A841: Electroencephalography NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A842,32,A842,A842: Electromyography,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A843,13,A843,A843: Nerve conduction studies,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A847,2,A847,A847: Sleep studies NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
C116,3,C116,C116: Canthotomy,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C118,1,C118,C118: Other specified operations on canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C121,1,C121,C121: Excision of lesion of eyelid NEC,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C152,1,C152,C152: Correction of entropion NEC,C15,C15: Correction of deformity of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C171,12,C171,C171: Suture of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C178,1,C178,C178: Other specified other repair of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
H201,8,H201,H201: Fibreoptic endoscopic snare resection of lesion of colon,H20,H20: Endoscopic extirpation of lesion of colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H206,3,H206,H206: Fibreoptic endoscopic resection of lesion of colon NEC,H20,H20: Endoscopic extirpation of lesion of colon,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.4,Live
