First_Procedure_Code,emergency_elderly_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A089,6,A089,A089: Unspecified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A091,1,A091,A091: Implantation of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A092,39,A092,A092: Maintenance of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A093,5,A093,A093: Removal of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A098,5,A098,A098: Other specified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A099,1,A099,A099: Unspecified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A102,29,A102,A102: Aspiration of abscess of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A103,10,A103,A103: Aspiration of haematoma of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A104,12,A104,A104: Aspiration of lesion of tissue of brain NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A107,10,A107,A107: Stereotactic radiosurgery on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A111,1,A111,A111: Placement of depth electrodes for electroencephalography,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A112,1,A112,A112: Placement of surface electrodes for electroencephalography,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A113,180,A113,A113: Monitoring of pressure in tissue of brain,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A114,1,A114,A114: Cortical mapping,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.6,Live
A118,1,A118,A118: Other specified operations on tissue of brain,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A121,1,A121,A121: Ventriculocisternostomy,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A454,3,A454,A454: Open biopsy of lesion of spinal cord,A45,A45: Other open operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A484,7,A484,A484: Attention to spinal cord neurostimulator NEC,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
G447,85,G447,G447: Fibreoptic endoscopic removal of gastrostomy tube,G44,G44: Other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.4,Live
L741,24,L741,L741: Insertion of arteriovenous prosthesis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L746,35,L746,L746: Creation of graft fistula for dialysis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
A011,1,A011,A011: Hemispherectomy,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A013,3,A013,A013: Partial lobectomy of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A021,78,A021,A021: Excision of lesion of tissue of frontal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A022,44,A022,A022: Excision of lesion of tissue of temporal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A023,21,A023,A023: Excision of lesion of tissue of parietal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A024,13,A024,A024: Excision of lesion of tissue of occipital lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A025,47,A025,A025: Excision of lesion of tissue of cerebellum,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A028,14,A028,A028: Other specified excision of lesion of tissue of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A029,2,A029,A029: Unspecified excision of lesion of tissue of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A032,40,A032,A032: Stereotactic ablation of tissue of thalamus,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A041,25,A041,A041: Open biopsy of lesion of tissue of frontal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A042,11,A042,A042: Open biopsy of lesion of tissue of temporal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A043,13,A043,A043: Open biopsy of lesion of tissue of parietal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A044,2,A044,A044: Open biopsy of lesion of tissue of occipital lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A045,6,A045,A045: Open biopsy of lesion of tissue of cerebellum,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A048,5,A048,A048: Other specified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A049,3,A049,A049: Unspecified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A051,43,A051,A051: Drainage of abscess of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A052,14,A052,A052: Evacuation of haematoma from temporal lobe of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A053,27,A053,A053: Evacuation of haematoma from cerebellum,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A054,93,A054,A054: Evacuation of intracerebral haematoma NEC,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A058,9,A058,A058: Other specified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A072,3,A072,A072: Removal of foreign body from tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A073,1,A073,A073: Exploration of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A456,26,A456,A456: Open aspiration of lesion of spinal cord,A45,A45: Other open operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A458,7,A458,A458: Other specified other open operations on spinal cord,A45,A45: Other open operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A473,1,A473,A473: Percutaneous chordotomy of spinal cord,A47,A47: Other destruction of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A481,14,A481,A481: Biopsy of lesion of spinal cord NEC,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A482,23,A482,A482: Aspiration of lesion of spinal cord,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A483,2,A483,A483: Implantation of spinal cord neurostimulator,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A485,10,A485,A485: Reprogramming of spinal cord neurostimulator,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A486,9,A486,A486: Removal of spinal cord neurostimulator,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A492,1,A492,A492: Closure of spinal myelomeningocele,A49,A49: Repair of spina bifida,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A493,2,A493,A493: Closure of spinal meningocele,A49,A49: Repair of spina bifida,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A511,45,A511,A511: Extirpation of lesion of meninges of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A512,2,A512,A512: Freeing of adhesions of meninges of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A513,2,A513,A513: Biopsy of lesion of meninges of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A515,20,A515,A515: Repair of dura of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.9,Live
A518,32,A518,A518: Other specified other operations on meninges of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A521,150,A521,A521: Therapeutic lumbar epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A522,237,A522,A522: Therapeutic sacral epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A523,14,A523,A523: Epidural blood patch,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.5,Live
A838,221,A838,A838: Other specified electroconvulsive therapy,A83,A83: Electroconvulsive therapy,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A122,1,A122,A122: Creation of ventriculovascular shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A123,1,A123,A123: Creation of ventriculopleural shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A124,214,A124,A124: Creation of ventriculoperitoneal shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A125,7,A125,A125: Creation of subcutaneous cerebrospinal fluid reservoir,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A128,4,A128,A128: Other specified creation of connection from ventricle of brain,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A129,1,A129,A129: Unspecified creation of connection from ventricle of brain,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A528,646,A528,A528: Other specified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A529,62,A529,A529: Unspecified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A531,1,A531,A531: Cerebrospinal syringostomy,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A533,1,A533,A533: Creation of syringoperitoneal shunt,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A534,6,A534,A534: Creation of lumboperitoneal shunt,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A535,64,A535,A535: Drainage of cerebrospinal fluid NEC,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A536,1,A536,A536: Creation of lumbar subcutaneous shunt,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A538,15,A538,A538: Other specified drainage of spinal canal,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A539,5,A539,A539: Unspecified drainage of spinal canal,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A541,1,A541,A541: Injection of destructive substance into cerebrospinal fluid,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A542,97,A542,A542: Injection of therapeutic substance into cerebrospinal fluid,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A543,36,A543,A543: Implantation of intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A544,9,A544,A544: Attention to intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A545,7,A545,A545: Removal of intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A548,19,A548,A548: Other specified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A549,27,A549,A549: Unspecified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A551,26,A551,A551: Radiculography,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A552,55,A552,A552: Spinal myelography NEC,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A553,18,A553,A553: Spinal manometry,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A558,36,A558,A558: Other specified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A559,10796,A559,A559: Unspecified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A571,5,A571,A571: Extirpation of lesion of spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A573,1,A573,A573: Radiofrequency controlled thermal destruction of spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A574,14,A574,A574: Injection of destructive substance into spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A575,10,A575,A575: Destruction of spinal nerve root NEC,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A577,915,A577,A577: Injection of therapeutic substance around spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.4,Live
A578,14,A578,A578: Other specified operations on spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A598,1,A598,A598: Other specified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A599,7,A599,A599: Unspecified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A602,1,A602,A602: Avulsion of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A604,5,A604,A604: Radiofrequency controlled thermal destruction of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A605,9,A605,A605: Injection of destructive substance into peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B223,11,B223,B223: Unilateral adrenalectomy,B22,B22: Excision of adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
B252,28,B252,B252: Biopsy of lesion of adrenal gland NEC,B25,B25: Other operations on adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
B253,3,B253,B253: Embolisation of adrenal gland,B25,B25: Other operations on adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
B258,4,B258,B258: Other specified other operations on adrenal gland,B25,B25: Other operations on adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
B271,1,B271,B271: Total mastectomy and excision of both pectoral muscles and part of chest wall,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B273,2,B273,B273: Total mastectomy and excision of pectoralis minor muscle,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B274,67,B274,B274: Total mastectomy NEC,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B278,4,B278,B278: Other specified total excision of breast,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B279,17,B279,B279: Unspecified total excision of breast,B27,B27: Total excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B282,25,B282,B282: Partial excision of breast NEC,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
A839,59,A839,A839: Unspecified electroconvulsive therapy,A83,A83: Electroconvulsive therapy,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A841,3642,A841,A841: Electroencephalography NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A842,621,A842,A842: Electromyography,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A843,225,A843,A843: Nerve conduction studies,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A844,10,A844,A844: Evoked potential recording,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A845,3,A845,A845: Electroretinography NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A846,2,A846,A846: Pattern electroretinography,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
A847,49,A847,A847: Sleep studies NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
A849,1,A849,A849: Unspecified neurophysiological operations,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
B011,1,B011,B011: Transethmoidal hypophysectomy,B01,B01: Excision of pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B012,4,B012,B012: Trans-sphenoidal hypophysectomy,B01,B01: Excision of pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B041,42,B041,B041: Excision of lesion of pituitary gland,B04,B04: Other operations on pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B042,2,B042,B042: Biopsy of lesion of pituitary gland,B04,B04: Other operations on pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B043,2,B043,B043: Decompression of pituitary gland,B04,B04: Other operations on pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B048,2,B048,B048: Other specified other operations on pituitary gland,B04,B04: Other operations on pituitary gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B068,2,B068,B068: Other specified operations on pineal gland,B06,B06: Operations on pineal gland,B01-B06,B01-B06: Pituitary and pineal glands,B,B: Endocrine System and Breast,4.2,Live
B081,24,B081,B081: Total thyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B082,3,B082,B082: Subtotal thyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B083,44,B083,B083: Hemithyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B084,9,B084,B084: Lobectomy of thyroid gland NEC,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B085,1,B085,B085: Isthmectomy of thyroid gland,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B086,2,B086,B086: Partial thyroidectomy NEC,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B089,1,B089,B089: Unspecified excision of thyroid gland,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
C112,3,C112,C112: Destruction of lesion of canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C113,1,C113,C113: Correction of epicanthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C115,3,C115,C115: Graft of skin to canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
B283,27,B283,B283: Excision of lesion of breast NEC,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B284,4,B284,B284: Re-excision of breast margins,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B285,7,B285,B285: Wire guided partial excision of breast,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.4,Live
B287,3,B287,B287: Wire guided excision of lesion of breast,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.5,Live
B288,4,B288,B288: Other specified other excision of breast,B28,B28: Other excision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B292,1,B292,B292: Reconstruction of breast using local flap of skin NEC,B29,B29: Reconstruction of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B293,1,B293,B293: Reconstruction of breast using flap of skin of abdomen NEC,B29,B29: Reconstruction of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C371,1,C371,C371: Excision of lesion of muscle of eye,C37,C37: Other operations on muscle of eye,C31-C37,C31-C37: Muscles of eye,C,C: Eye,4.2,Live
