First_Procedure_Code,amb_chronic_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
C868,4,C868,C868: Other specified other operations on eye,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C871,9,C871,C871: Digital imaging of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C873,6,C873,C873: Tomography evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C875,17,C875,C875: Scanning laser ophthalmoscopy evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C878,4,C878,C878: Other specified evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C879,4,C879,C879: Unspecified evaluation of retina,C87,C87: Evaluation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
E061,55,E061,E061: Packing of posterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E062,125,E062,E062: Packing of anterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E063,124,E063,E063: Removal of packing from cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E064,406,E064,E064: Balloon packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.4,Live
E068,13,E068,E068: Other specified packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E069,104,E069,E069: Unspecified packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E085,2,E085,E085: Removal of foreign body from cavity of nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E088,7,E088,E088: Other specified other operations on internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E089,1,E089,E089: Unspecified other operations on internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E091,1,E091,E091: Excision of lesion of external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E092,4,E092,E092: Destruction of lesion of external nose NEC,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E093,5,E093,E093: Suture of external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E095,2,E095,E095: Biopsy of lesion of external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E098,2,E098,E098: Other specified operations on external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E101,1,E101,E101: Biopsy of lesion of nose NEC,E10,E10: Other operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E108,1,E108,E108: Other specified other operations on nose,E10,E10: Other operations on nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E111,1,E111,E111: One stage attachment of fixtures for nasal prosthesis NEC,E11,E11: Operations on fixtures for nasal prosthesis,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.3,Live
E121,1,E121,E121: Ligation of maxillary artery using sublabial approach,E12,E12: Operations on maxillary antrum using sublabial approach,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E484,21,E484,E484: Fibreoptic endoscopic aspiration of lower respiratory tract,E48,E48: Therapeutic fibreoptic endoscopic operations on lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E485,11,E485,E485: Fibreoptic endoscopic removal of foreign body from lower respiratory tract,E48,E48: Therapeutic fibreoptic endoscopic operations on lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E486,7,E486,E486: Fibreoptic endoscopic irrigation of lower respiratory tract,E48,E48: Therapeutic fibreoptic endoscopic operations on lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E488,16,E488,E488: Other specified therapeutic fibreoptic endoscopic operations on lower respiratory tract,E48,E48: Therapeutic fibreoptic endoscopic operations on lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E491,90,E491,E491: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and biopsy of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E492,592,E492,E492: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and lavage of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.3,Live
E493,14,E493,E493: Diagnostic fibreoptic endoscopic examination of lower respiratory tract and brush cytology of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
E494,44,E494,E494: Diagnostic fibreoptic endoscopic examination of lower respiratory tract with lavage and brush cytology of lesion of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
E495,33,E495,"E495: Diagnostic fibreoptic endoscopic examination of lower respiratory tract with biopsy, lavage and brush cytology of lesion of lower respiratory tract",E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.4,Live
L914,177,L914,L914: Removal of central venous catheter,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
A054,1,A054,A054: Evacuation of intracerebral haematoma NEC,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A411,3,A411,A411: Evacuation of subdural haematoma,A41,A41: Drainage of subdural space,A38-A43,A38-A43: Meninges of brain,A,A: Nervous System,4.2,Live
A706,3,A706,A706: Acupuncture NEC,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.4,Live
A731,1,A731,A731: Biopsy of lesion of peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A735,95,A735,A735: Injection of therapeutic substance around peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A753,1,A753,A753: Excision of lumbar sympathetic nerve,A75,A75: Excision of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
B321,31,B321,B321: Percutaneous biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B322,28,B322,B322: Biopsy of lesion of breast NEC,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B323,2,B323,B323: Wire guided biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B328,1,B328,B328: Other specified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B329,3,B329,B329: Unspecified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B331,9,B331,B331: Drainage of lesion of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B355,2,B355,B355: Biopsy of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B371,9,B371,B371: Aspiration of lesion of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C664,7,C664,C664: Laser photocoagulation of ciliary body,C66,C66: Extirpation of ciliary body,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C692,1,C692,C692: Paracentesis of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C693,1,C693,C693: Injection into anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C694,1,C694,C694: Irrigation of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C732,1,C732,C732: Capsulotomy of anterior lens capsule,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C733,1,C733,C733: Capsulotomy of posterior lens capsule,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C751,15,C751,C751: Insertion of prosthetic replacement for lens NEC,C75,C75: Prosthesis of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
D151,1,D151,D151: Myringotomy with insertion of ventilation tube through tympanic membrane,D15,D15: Drainage of middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D152,16,D152,D152: Suction clearance of middle ear,D15,D15: Drainage of middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D192,1,D192,D192: Destruction of lesion of middle ear,D19,D19: Extirpation of lesion of middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D201,1,D201,D201: Biopsy of lesion of middle ear,D20,D20: Other operations on middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D207,1,D207,D207: Transtympanic injection to middle ear,D20,D20: Other operations on middle ear,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.3,Live
G447,4,G447,G447: Fibreoptic endoscopic removal of gastrostomy tube,G44,G44: Other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.4,Live
A763,2,A763,A763: Chemical destruction of lumbar sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A811,6,A811,A811: Stellate ganglion blockade,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
B375,1,B375,B375: Lipofilling of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.6,Live
C191,1,C191,C191: Drainage of lesion of eyelid,C19,C19: Incision of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C572,1,C572,C572: Repair of sclera,C57,C57: Other operations on sclera,C52-C65,C52-C65: Sclera and iris,C,C: Eye,4.2,Live
C623,7,C623,C623: Laser iridotomy,C62,C62: Incision of iris,C52-C65,C52-C65: Sclera and iris,C,C: Eye,4.2,Live
C642,1,C642,C642: Excision of lesion of iris,C64,C64: Other operations on iris,C52-C65,C52-C65: Sclera and iris,C,C: Eye,4.2,Live
D068,5,D068,D068: Other specified other operations on external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D071,4,D071,D071: Irrigation of external auditory canal for removal of wax,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D072,42,D072,D072: Removal of wax from external auditory canal NEC,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D073,9,D073,D073: Removal of foreign body from external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D078,13,D078,D078: Other specified clearance of external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D079,2,D079,D079: Unspecified clearance of external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D083,4,D083,D083: Drainage of external auditory canal,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D088,3,D088,D088: Other specified other operations on external auditory canal,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D139,1,D139,D139: Unspecified attachment of bone anchored hearing prosthesis,D13,D13: Attachment of bone anchored hearing prosthesis,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.3,Live
E212,1,E212,E212: Pharyngoplasty using posterior pharyngeal flap,E21,E21: Repair of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E248,2,E248,E248: Other specified therapeutic endoscopic operations on pharynx,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E252,2,E252,E252: Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E253,193,E253,E253: Diagnostic endoscopic examination of nasopharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E258,2,E258,E258: Other specified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E259,273,E259,E259: Unspecified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E272,2,E272,E272: Drainage of retropharyngeal abscess,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E274,3,E274,E274: Removal of foreign body from pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
L741,3,L741,L741: Insertion of arteriovenous prosthesis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
A201,1,A201,A201: Drainage of ventricle of brain NEC,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A528,2,A528,A528: Other specified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A529,1,A529,A529: Unspecified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A535,1,A535,A535: Drainage of cerebrospinal fluid NEC,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A539,1,A539,A539: Unspecified drainage of spinal canal,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A542,3,A542,A542: Injection of therapeutic substance into cerebrospinal fluid,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A544,3,A544,A544: Attention to intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A549,2,A549,A549: Unspecified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A551,2,A551,A551: Radiculography,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A553,4,A553,A553: Spinal manometry,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A558,2,A558,A558: Other specified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A559,1445,A559,A559: Unspecified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A575,1,A575,A575: Destruction of spinal nerve root NEC,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A577,6,A577,A577: Injection of therapeutic substance around spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.4,Live
A599,1,A599,A599: Unspecified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A604,1,A604,A604: Radiofrequency controlled thermal destruction of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B122,15,B122,B122: Biopsy of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B123,1,B123,B123: Incision of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B125,2,B125,B125: Percutaneous drainage of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.9,Live
C104,13,C104,C104: Suture of eyebrow,C10,C10: Operations on eyebrow,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C108,3,C108,C108: Other specified operations on eyebrow,C10,C10: Operations on eyebrow,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C457,1,C457,C457: Debridement of lesion of cornea,C45,C45: Extirpation of lesion of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C471,2,C471,C471: Suture of cornea,C47,C47: Closure of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C474,1,C474,C474: Gluing of cornea,C47,C47: Closure of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
E498,6,E498,E498: Other specified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E499,95,E499,E499: Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E502,2,E502,E502: Endoscopic laser destruction of lesion of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E503,1,E503,E503: Endoscopic destruction of lesion of lower respiratory tract using rigid bronchoscope NEC,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E504,2,E504,E504: Endoscopic aspiration of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E506,3,E506,E506: Endoscopic irrigation of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E508,5,E508,E508: Other specified therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E971,31,E971,E971: Education for inhaled therapy,E97,E97: Respiratory education,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E973,3,E973,E973: Education for self-management of respiratory health,E97,E97: Respiratory education,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E981,9,E981,E981: Nicotine replacement therapy using nicotine patches,E98,E98: Smoking cessation therapy,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.4,Live
E983,2,E983,E983: Nicotine replacement therapy using nicotine inhalator,E98,E98: Smoking cessation therapy,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.4,Live
E989,1,E989,E989: Unspecified smoking cessation therapy,E98,E98: Smoking cessation therapy,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.4,Live
F021,1,F021,F021: Excision of lesion of lip,F02,F02: Extirpation of lesion of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F022,1,F022,F022: Destruction of lesion of lip,F02,F02: Extirpation of lesion of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F053,15,F053,F053: Suture of lip,F05,F05: Other repair of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F093,12,F093,F093: Surgical removal of wisdom tooth NEC,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F094,14,F094,F094: Surgical removal of tooth NEC,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F451,1,F451,F451: Excision of lesion of parotid gland,F45,F45: Extirpation of lesion of salivary gland,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F461,2,F461,F461: Incision of parotid gland,F46,F46: Incision of salivary gland,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F481,6,F481,F481: Biopsy of lesion of salivary gland,F48,F48: Other operations on salivary gland,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F488,2,F488,F488: Other specified other operations on salivary gland,F48,F48: Other operations on salivary gland,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F531,1,F531,F531: Open operations on parotid duct NEC,F53,F53: Other open operations on salivary duct,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
G282,1,G282,G282: Partial gastrectomy and anastomosis of stomach to transposed jejunum,G28,G28: Partial excision of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
E275,3,E275,E275: Dilation of pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E276,3,E276,E276: Examination of pharynx under anaesthetic,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E629,1,E629,E629: Unspecified therapeutic endoscopic operations on mediastinum,E62,E62: Therapeutic endoscopic operations on mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
