First_Procedure_Code,amb_vac_prev_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A201,3,A201,A201: Drainage of ventricle of brain NEC,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A651,1,A651,A651: Carpal tunnel release,A65,A65: Release of entrapment of peripheral nerve at wrist,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B252,2,B252,B252: Biopsy of lesion of adrenal gland NEC,B25,B25: Other operations on adrenal gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
C692,1,C692,C692: Paracentesis of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C694,1,C694,C694: Irrigation of anterior chamber of eye,C69,C69: Other operations on anterior chamber of eye,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C733,4,C733,C733: Capsulotomy of posterior lens capsule,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C734,1,C734,C734: Capsulotomy of lens NEC,C73,C73: Incision of capsule of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
C751,3,C751,C751: Insertion of prosthetic replacement for lens NEC,C75,C75: Prosthesis of lens,C66-C77,C66-C77: Anterior chamber of eye and lens,C,C: Eye,4.2,Live
D282,1,D282,D282: Examination of ear under anaesthetic,D28,D28: Other operations on ear,D22-D28,D22-D28: Inner ear and eustachian canal,D,D: Ear,4.2,Live
E033,1,E033,E033: Biopsy of lesion of septum of nose,E03,E03: Operations on septum of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E046,1,E046,E046: Cauterisation of turbinate of nose,E04,E04: Operations on turbinate of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E051,139,E051,E051: Cauterisation of internal nose,E05,E05: Surgical arrest of bleeding from internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E052,1,E052,E052: Ligation of artery of internal nose,E05,E05: Surgical arrest of bleeding from internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E411,3,E411,E411: Open insertion of tubal prosthesis in trachea,E41,E41: Open placement of prosthesis in trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E412,2,E412,E412: Open renewal of tubal prosthesis in trachea,E41,E41: Open placement of prosthesis in trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E418,5,E418,E418: Other specified open placement of prosthesis in trachea,E41,E41: Open placement of prosthesis in trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E421,4,E421,E421: Permanent tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E422,1,E422,E422: Cricothyroidostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E423,442,E423,E423: Temporary tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E424,7,E424,E424: Revision of tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E425,1,E425,E425: Closure of tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
L914,107,L914,L914: Removal of central venous catheter,L91,L91: Other vein related operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
A765,1,A765,A765: Chemical destruction of splanchnic sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A812,2,A812,A812: Injection of therapeutic substance around sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.4,Live
A818,1,A818,A818: Other specified other operations on sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
C051,1,C051,C051: Reconstruction of cavity of orbit,C05,C05: Plastic repair of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C222,1,C222,C222: Biopsy of lesion of eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C224,1,C224,C224: Injection into eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C228,1,C228,C228: Other specified other operations on eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
E158,1,E158,E158: Other specified operations on sphenoid sinus,E15,E15: Operations on sphenoid sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E178,1,E178,E178: Other specified operations on unspecified nasal sinus,E17,E17: Operations on unspecified nasal sinus,E12-E17,E12-E17: Nasal sinuses,E,E: Respiratory Tract,4.2,Live
E201,1,E201,E201: Total adenoidectomy,E20,E20: Operations on adenoid,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E631,6,E631,E631: Diagnostic endoscopic examination of mediastinum and biopsy of lesion of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.2,Live
E632,80,E632,E632: Endobronchial ultrasound examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.5,Live
E633,1,E633,E633: Endo-oesophageal ultrasound examination of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.5,Live
E634,25,E634,E634: Endoscopic ultrasound examination of mediastinum and biopsy of lesion of mediastinum,E63,E63: Diagnostic endoscopic examination of mediastinum,E53-E63,E53-E63: Lung and mediastinum,E,E: Respiratory Tract,4.9,Live
E641,1,E641,E641: Endoscopic extirpation of lesion of nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E648,1,E648,E648: Other specified therapeutic endoscopic operations on nasal cavity,E64,E64: Therapeutic endoscopic operations on nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E651,2,E651,E651: Diagnostic endoscopic examination of nasal cavity and biopsy of lesion of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E658,1,E658,E658: Other specified diagnostic endoscopic examination of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E659,182,E659,E659: Unspecified diagnostic endoscopic examination of nasal cavity,E65,E65: Diagnostic endoscopic examination of nasal cavity,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.7,Live
E851,7077,E851,E851: Invasive ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E852,25215,E852,E852: Non-invasive ventilation NEC,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E853,24,E853,E853: Improving efficiency of ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E854,133,E854,E854: Bag valve mask ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E426,151,E426,E426: Replacement of tracheostomy tube,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E427,10,E427,E427: Removal of tracheostomy tube,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E428,21,E428,E428: Other specified exteriorisation of trachea,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E429,5,E429,E429: Unspecified exteriorisation of trachea,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E462,1,E462,E462: Excision of cyst of bronchus,E46,E46: Partial extirpation of bronchus,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
F161,4,F161,F161: Drainage of abscess of alveolus of tooth,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F168,1,F168,F168: Other specified other operations on tooth,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F171,1,F171,F171: Preparation of tooth for dental crown,F17,F17: Operations on teeth using dental crown or bridge,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F208,1,F208,F208: Other specified operations on gingiva,F20,F20: Operations on gingiva,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
G078,1,G078,G078: Other specified repair of oesophagus,G07,G07: Repair of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G114,1,G114,G114: Open removal of tubal prosthesis from oesophagus,G11,G11: Open placement of prosthesis in oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G183,1,G183,G183: Endoscopic dilation of oesophagus using rigid oesophagoscope NEC,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G189,1,G189,G189: Unspecified other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G211,1,G211,G211: Intubation of oesophagus for pH manometry,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G212,1,G212,G212: Intubation of oesophagus for pressure manometry,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G214,8,G214,G214: Intubation of oesophagus NEC,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G215,4,G215,G215: Insertion of stent into oesophagus NEC,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.4,Live
G218,1,G218,G218: Other specified other operations on oesophagus,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G521,5,G521,G521: Closure of perforated ulcer of duodenum,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G522,1,G522,G522: Suture of ulcer of duodenum NEC,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G532,1,G532,G532: Closure of perforation of duodenum NEC,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G536,1,G536,G536: Correction of malrotation of duodenum,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G541,2,G541,G541: Endoscopic extirpation of lesion of duodenum,G54,G54: Therapeutic endoscopic operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G551,1,G551,G551: Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum,G55,G55: Diagnostic endoscopic examination of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
A099,1,A099,A099: Unspecified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A124,2,A124,A124: Creation of ventriculoperitoneal shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A528,9,A528,A528: Other specified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A534,1,A534,A534: Creation of lumboperitoneal shunt,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A542,7,A542,A542: Injection of therapeutic substance into cerebrospinal fluid,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A543,1,A543,A543: Implantation of intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A544,5,A544,A544: Attention to intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A545,1,A545,A545: Removal of intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A549,1,A549,A549: Unspecified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A551,4,A551,A551: Radiculography,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A553,1,A553,A553: Spinal manometry,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A558,2,A558,A558: Other specified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A559,2600,A559,A559: Unspecified diagnostic spinal puncture,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A577,10,A577,A577: Injection of therapeutic substance around spinal nerve root,A57,A57: Operations on spinal nerve root,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.4,Live
A599,1,A599,A599: Unspecified excision of peripheral nerve,A59,A59: Excision of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B122,10,B122,B122: Biopsy of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B128,1,B128,B128: Other specified other operations on thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
C118,1,C118,C118: Other specified operations on canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C122,1,C122,C122: Cauterisation of lesion of eyelid,C12,C12: Extirpation of lesion of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C171,3,C171,C171: Suture of eyelid,C17,C17: Other repair of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C794,4,C794,C794: Injection into vitreous body NEC,C79,C79: Operations on vitreous body,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
E061,11,E061,E061: Packing of posterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E062,27,E062,E062: Packing of anterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E063,11,E063,E063: Removal of packing from cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E064,99,E064,E064: Balloon packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.4,Live
E354,3,E354,E354: Endoscopic removal of prosthesis from larynx,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E357,1,E357,E357: Endoscopic vocal cord medialisation,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.3,Live
E358,3,E358,E358: Other specified other therapeutic endoscopic operations on larynx,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E361,1,E361,E361: Diagnostic endoscopic examination of larynx and biopsy of lesion of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E368,19,E368,E368: Other specified diagnostic endoscopic examination of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E369,106,E369,E369: Unspecified diagnostic endoscopic examination of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E371,2,E371,E371: Diagnostic microendoscopic examination of larynx and biopsy of lesion of larynx,E37,E37: Diagnostic microendoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.6,Live
E379,4,E379,E379: Unspecified diagnostic microendoscopic examination of larynx,E37,E37: Diagnostic microendoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.6,Live
E388,2,E388,E388: Other specified other operations on larynx,E38,E38: Other operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E981,3,E981,E981: Nicotine replacement therapy using nicotine patches,E98,E98: Smoking cessation therapy,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.4,Live
F019,1,F019,F019: Unspecified partial excision of lip,F01,F01: Partial excision of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F021,2,F021,F021: Excision of lesion of lip,F02,F02: Extirpation of lesion of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F031,1,F031,F031: Primary closure of cleft lip,F03,F03: Correction of deformity of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F053,5,F053,F053: Suture of lip,F05,F05: Other repair of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F058,1,F058,F058: Other specified other repair of lip,F05,F05: Other repair of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F059,1,F059,F059: Unspecified other repair of lip,F05,F05: Other repair of lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F062,3,F062,F062: Biopsy of lesion of lip,F06,F06: Other operations on lip,F01-F06,F01-F06: Lip,F,F: Mouth,4.2,Live
F093,3,F093,F093: Surgical removal of wisdom tooth NEC,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F094,6,F094,F094: Surgical removal of tooth NEC,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
G282,1,G282,G282: Partial gastrectomy and anastomosis of stomach to transposed jejunum,G28,G28: Partial excision of stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G743,3,G743,G743: Creation of defunctioning ileostomy,G74,G74: Creation of artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G751,2,G751,G751: Refashioning of ileostomy,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G753,1,G753,G753: Closure of ileostomy,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G755,2,G755,G755: Reduction of prolapse of ileostomy,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
H273,7,H273,H273: Endoscopic insertion of tubal prosthesis into sigmoid colon using rigid sigmoidoscope,H27,H27: Other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.2,Live
H275,13,H275,H275: Endoscopic decompression of sigmoid colon using rigid sigmoidoscope,H27,H27: Other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope,"H04-H32, H37-H38","H04-H32, H37-H38: Colon",H,H: Lower Digestive System,4.9,Live
E855,851,E855,E855: Nebuliser ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E856,4198,E856,E856: Continuous positive airway pressure,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.9,Live
