Spell_Primary_Diagnosis,emergency_elderly_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
Q221,1,Q221,Q221: Congenital pulmonary valve stenosis,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q225,3,Q225,Q225: Ebstein's anomaly,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M052,13,M052,M052: Rheumatoid vasculitis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0520,5,M0520,M0520: Rheumatoid vasculitis: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0524,1,M0524,M0524: Rheumatoid vasculitis: Hand,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0526,4,M0526,M0526: Rheumatoid vasculitis: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0527,1,M0527,M0527: Rheumatoid vasculitis: Ankle and foot,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0528,1,M0528,M0528: Rheumatoid vasculitis: Other,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0529,2,M0529,M0529: Rheumatoid vasculitis: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M053,3,M053,M053: Rheumatoid arthritis with involvement of other organs and systems,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0530,2,M0530,M0530: Rheumatoid arthritis with involvement of other organs and systems: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M058,13,M058,M058: Other seropositive rheumatoid arthritis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0580,7,M0580,M0580: Other seropositive rheumatoid arthritis: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F419,7074,F419,"F419: Anxiety disorder, unspecified",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F420,9,F420,F420: Predominantly obsessional thoughts or ruminations,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F421,3,F421,F421: Predominantly compulsive acts [obsessional rituals],F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F422,4,F422,F422: Mixed obsessional thoughts and acts,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F428,8,F428,F428: Other obsessive-compulsive disorders,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F429,25,F429,"F429: Obsessive-compulsive disorder, unspecified",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F430,171,F430,F430: Acute stress reaction,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F431,36,F431,F431: Post-traumatic stress disorder,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F432,497,F432,F432: Adjustment disorders,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F438,17,F438,F438: Other reactions to severe stress,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q230,25,Q230,Q230: Congenital stenosis of aortic valve,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q231,29,Q231,Q231: Congenital insufficiency of aortic valve,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q232,1,Q232,Q232: Congenital mitral stenosis,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q233,1,Q233,Q233: Congenital mitral insufficiency,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q238,1,Q238,Q238: Other congenital malformations of aortic and mitral valves,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q240,1,Q240,Q240: Dextrocardia,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q241,1,Q241,Q241: Laevocardia,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q242,1,Q242,Q242: Cor triatriatum,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
