Spell_Primary_Diagnosis,eol_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
I313,37,I313,I313: Pericardial effusion (noninflammatory),I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I319,15,I319,"I319: Disease of pericardium, unspecified",I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I330,84,I330,I330: Acute and subacute infective endocarditis,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I340,21,I340,I340: Mitral (valve) insufficiency,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I348,1,I348,I348: Other nonrheumatic mitral valve disorders,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I350,342,I350,I350: Aortic (valve) stenosis,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I351,6,I351,I351: Aortic (valve) insufficiency,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I352,20,I352,I352: Aortic (valve) stenosis with insufficiency,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I358,3,I358,I358: Other aortic valve disorders,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I359,1,I359,"I359: Aortic valve disorder, unspecified",I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I38X,8,I38X,"I38X: Endocarditis, valve unspecified",I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I400,2,I400,I400: Infective myocarditis,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I408,1,I408,I408: Other acute myocarditis,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S700,8,S700,S700: Contusion of hip,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S701,3,S701,S701: Contusion of thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S707,1,S707,S707: Multiple superficial injuries of hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S708,5,S708,S708: Other superficial injuries of hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S709,9,S709,"S709: Superficial injury of hip and thigh, unspecified",S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S710,2,S710,S710: Open wound of hip,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T659,1,T659,T659: Toxic effect: Toxic effect of unspecified substance,T51-T65,T51-T65: Toxic effects of substances chiefly nonmedicinal as to source,T51-T65,T51-T65: Toxic effects of substances chiefly nonmedicinal as to source,T51-T65,T51-T65: Toxic effects of substances chiefly nonmedicinal as to source,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T670,1,T670,T670: Heatstroke and sunstroke,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S519,14,S519,"S519: Open wound of forearm, part unspecified",S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M051,3,M051,M051: Rheumatoid lung disease,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2541,1,M2541,M2541: Effusion of joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2542,2,M2542,M2542: Effusion of joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2543,2,M2543,M2543: Effusion of joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2545,1,M2545,M2545: Effusion of joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2546,7,M2546,M2546: Effusion of joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2547,1,M2547,M2547: Effusion of joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M255,1,M255,M255: Pain in joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2550,9,M2550,M2550: Pain in joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2551,10,M2551,M2551: Pain in joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T68X,149,T68X,T68X: Hypothermia,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S270,1,S270,S270: Traumatic pneumothorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S2700,47,S2700,S2700: Traumatic pneumothorax: without open wound into thoracic cavity,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S764,1,S764,S764: Injury of other and unspecified muscles and tendons at thigh level,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S798,3,S798,S798: Other specified injuries of hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S799,11,S799,S799: Unspecified injury of hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,S70-S79,S70-S79: Injuries to the hip and thigh,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S800,6,S800,S800: Contusion of knee,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S801,4,S801,S801: Contusion of other and unspecified parts of lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S808,12,S808,S808: Other superficial injuries of lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S809,28,S809,"S809: Superficial injury of lower leg, unspecified",S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2552,1,M2552,M2552: Pain in joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2553,2,M2553,M2553: Pain in joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2555,44,M2555,M2555: Pain in joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2556,13,M2556,M2556: Pain in joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2557,7,M2557,M2557: Pain in joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M199,3,M199,"M199: Arthrosis, unspecified",M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1990,1,M1990,"M1990: Arthrosis, unspecified: Multiple sites",M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R031,8,R031,R031: Nonspecific low blood-pressure reading,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R040,24,R040,R040: Epistaxis,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R041,2,R041,R041: Haemorrhage from throat,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,R00-R09,R00-R09: Symptoms and signs involving the circulatory and respiratory systems,18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G214,7,G214,G214: Vascular parkinsonism,G20-G26,G20-G26: Extrapyramidal and movement disorders,G20-G26,G20-G26: Extrapyramidal and movement disorders,G20-G26,G20-G26: Extrapyramidal and movement disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
