Spell_Primary_Diagnosis,eol_broad_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
Z424,29,Z424,Z424: Follow-up care involving plastic surgery of lower extremity,Z40-Z54,Z40-Z54: Persons encountering health services for specific procedures and health care,Z40-Z54,Z40-Z54: Persons encountering health services for specific procedures and health care,Z40-Z54,Z40-Z54: Persons encountering health services for specific procedures and health care,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C716,567,C716,C716: Malignant neoplasm: Cerebellum,C69-C72,"C69-C72: Malignant neoplasms of eye, brain and other parts of central nervous system",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q120,134,Q120,Q120: Congenital cataract,Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q121,4,Q121,Q121: Congenital displaced lens,Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0516,1,M0516,M0516: Rheumatoid lung disease: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0519,12,M0519,M0519: Rheumatoid lung disease: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M052,40,M052,M052: Rheumatoid vasculitis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0520,22,M0520,M0520: Rheumatoid vasculitis: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0524,1,M0524,M0524: Rheumatoid vasculitis: Hand,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0526,3,M0526,M0526: Rheumatoid vasculitis: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M969,12,M969,"M969: Postprocedural musculoskeletal disorder, unspecified",M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K738,6,K738,"K738: Other chronic hepatitis, not elsewhere classified",K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F638,1,F638,F638: Other habit and impulse disorders,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F654,1,F654,F654: Paedophilia,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F681,17,F681,"F681: Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F688,1,F688,F688: Other specified disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F69X,13,F69X,F69X: Unspecified disorder of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,F60-F69,F60-F69: Disorders of adult personality and behaviour,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D608,53,D608,D608: Other acquired pure red cell aplasias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D609,1174,D609,"D609: Acquired pure red cell aplasia, unspecified",D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D610,394,D610,D610: Constitutional aplastic anaemia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0527,4,M0527,M0527: Rheumatoid vasculitis: Ankle and foot,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0528,8,M0528,M0528: Rheumatoid vasculitis: Other,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0529,3,M0529,M0529: Rheumatoid vasculitis: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M053,3,M053,M053: Rheumatoid arthritis with involvement of other organs and systems,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0530,2,M0530,M0530: Rheumatoid arthritis with involvement of other organs and systems: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M058,45,M058,M058: Other seropositive rheumatoid arthritis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0580,72,M0580,M0580: Other seropositive rheumatoid arthritis: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0583,2,M0583,M0583: Other seropositive rheumatoid arthritis: Forearm,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0586,1,M0586,M0586: Other seropositive rheumatoid arthritis: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0589,3,M0589,M0589: Other seropositive rheumatoid arthritis: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M059,1481,M059,"M059: Seropositive rheumatoid arthritis, unspecified",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q189,1,Q189,"Q189: Congenital malformation of face and neck, unspecified",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q200,3,Q200,Q200: Common arterial trunk,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q201,8,Q201,Q201: Double outlet right ventricle,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q202,1,Q202,Q202: Double outlet left ventricle,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q203,24,Q203,Q203: Discordant ventriculoarterial connection,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q204,3,Q204,Q204: Double inlet ventricle,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q205,4,Q205,Q205: Discordant atrioventricular connection,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q206,7,Q206,Q206: Isomerism of atrial appendages,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q208,6,Q208,Q208: Other congenital malformations of cardiac chambers and connections,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0590,1207,M0590,"M0590: Seropositive rheumatoid arthritis, unspecified: Multiple sites",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0591,7,M0591,"M0591: Seropositive rheumatoid arthritis, unspecified: Shoulder region",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0593,5,M0593,"M0593: Seropositive rheumatoid arthritis, unspecified: Forearm",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0594,9,M0594,"M0594: Seropositive rheumatoid arthritis, unspecified: Hand",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0595,2,M0595,"M0595: Seropositive rheumatoid arthritis, unspecified: Pelvic region and thigh",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0596,20,M0596,"M0596: Seropositive rheumatoid arthritis, unspecified: Lower leg",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0597,6,M0597,"M0597: Seropositive rheumatoid arthritis, unspecified: Ankle and foot",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0598,5,M0598,"M0598: Seropositive rheumatoid arthritis, unspecified: Other",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0599,211,M0599,"M0599: Seropositive rheumatoid arthritis, unspecified: Site unspecified",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M060,308,M060,M060: Seronegative rheumatoid arthritis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D611,712,D611,D611: Drug-induced aplastic anaemia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D612,72,D612,D612: Aplastic anaemia due to other external agents,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D613,184,D613,D613: Idiopathic aplastic anaemia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D618,491,D618,D618: Other specified aplastic anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D619,20857,D619,"D619: Aplastic anaemia, unspecified",D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D62X,255,D62X,D62X: Acute posthaemorrhagic anaemia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D630,14596,D630,D630: Anaemia in neoplastic disease,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D638,10479,D638,D638: Anaemia in other chronic diseases classified elsewhere,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D640,42,D640,D640: Hereditary sideroblastic anaemia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D641,47,D641,D641: Secondary sideroblastic anaemia due to disease,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q210,39,Q210,Q210: Ventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q211,129,Q211,Q211: Atrial septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q212,8,Q212,Q212: Atrioventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q213,15,Q213,Q213: Tetralogy of Fallot,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q218,7,Q218,Q218: Other congenital malformations of cardiac septa,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q219,3,Q219,"Q219: Congenital malformation of cardiac septum, unspecified",Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q220,5,Q220,Q220: Pulmonary valve atresia,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
