Spell_Primary_Diagnosis,frail_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
M1914,3,M1914,M1914: Post-traumatic arthrosis of other joints: Hand,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1915,3,M1915,M1915: Post-traumatic arthrosis of other joints: Pelvic region and thigh,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F010,99,F010,F010: Vascular dementia of acute onset,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F011,185,F011,F011: Multi-infarct dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F012,145,F012,F012: Subcortical vascular dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F013,285,F013,F013: Mixed cortical and subcortical vascular dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F018,132,F018,F018: Other vascular dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F019,20490,F019,"F019: Vascular dementia, unspecified",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F03X,32313,F03X,F03X: Unspecified dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F050,17182,F050,"F050: Delirium not superimposed on dementia, so described",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F051,56815,F051,F051: Delirium superimposed on dementia,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F058,14577,F058,F058: Other delirium,F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F059,81051,F059,"F059: Delirium, unspecified",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",F00-F09,"F00-F09: Organic, including symptomatic, mental disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F100,8068,F100,F100: Mental and behavioural disorders due to use of alcohol: Acute intoxication,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F101,2777,F101,F101: Mental and behavioural disorders due to use of alcohol: Harmful use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F102,3374,F102,F102: Mental and behavioural disorders due to use of alcohol: Dependence syndrome,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F103,12130,F103,F103: Mental and behavioural disorders due to use of alcohol: Withdrawal state,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F104,966,F104,F104: Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F105,65,F105,F105: Mental and behavioural disorders due to use of alcohol: Psychotic disorder,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F106,679,F106,F106: Mental and behavioural disorders due to use of alcohol: Amnesic syndrome,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F107,411,F107,F107: Mental and behavioural disorders due to use of alcohol: Residual and late-onset psychotic disorder,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F108,31,F108,F108: Mental and behavioural disorders due to use of alcohol: Other mental and behavioural disorders,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F109,18,F109,F109: Mental and behavioural disorders due to use of alcohol: Unspecified mental and behavioural disorder,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,F10-F19,F10-F19: Mental and behavioural disorders due to psychoactive substance use,5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S422,982,S422,S422: Fracture of upper end of humerus,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4220,50716,S4220,S4220: Fracture of upper end of humerus: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4221,237,S4221,S4221: Fracture of upper end of humerus: open,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S423,195,S423,S423: Fracture of shaft of humerus,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4230,8380,S4230,S4230: Fracture of shaft of humerus: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4231,248,S4231,S4231: Fracture of shaft of humerus: open,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S424,171,S424,S424: Fracture of lower end of humerus,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4240,6960,S4240,S4240: Fracture of lower end of humerus: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4241,542,S4241,S4241: Fracture of lower end of humerus: open,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S427,13,S427,"S427: Multiple fractures of clavicle, scapula and humerus",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4270,513,S4270,"S4270: Multiple fractures of clavicle, scapula and humerus: closed",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4271,9,S4271,"S4271: Multiple fractures of clavicle, scapula and humerus: open",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S428,11,S428,S428: Fracture of other parts of shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4280,297,S4280,S4280: Fracture of other parts of shoulder and upper arm: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S429,18,S429,"S429: Fracture of shoulder girdle, part unspecified",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4290,740,S4290,"S4290: Fracture of shoulder girdle, part unspecified: closed",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4116,1,M4116,M4116: Juvenile idiopathic scoliosis: Lumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M412,3,M412,M412: Other idiopathic scoliosis,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4124,3,M4124,M4124: Other idiopathic scoliosis: Thoracic region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4125,2,M4125,M4125: Other idiopathic scoliosis: Thoracolumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4126,2,M4126,M4126: Other idiopathic scoliosis: Lumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M413,6,M413,M413: Thoracogenic scoliosis,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4134,3,M4134,M4134: Thoracogenic scoliosis: Thoracic region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4135,1,M4135,M4135: Thoracogenic scoliosis: Thoracolumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M414,1,M414,M414: Neuromuscular scoliosis,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4149,1,M4149,M4149: Neuromuscular scoliosis: Site unspecified,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M415,2,M415,M415: Other secondary scoliosis,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4155,1,M4155,M4155: Other secondary scoliosis: Thoracolumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4156,3,M4156,M4156: Other secondary scoliosis: Lumbar region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M418,7,M418,M418: Other forms of scoliosis,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4180,3,M4180,M4180: Other forms of scoliosis: Multiple sites in spine,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z602,3,Z602,Z602: Living alone,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z604,1,Z604,Z604: Social exclusion and rejection,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z608,2,Z608,Z608: Other problems related to social environment,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z609,1,Z609,"Z609: Problem related to social environment, unspecified",Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Z55-Z65: Persons with potential health hazards related to socioeconomic and psychosocial circumstances,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8054,1,M8054,M8054: Idiopathic osteoporosis with pathological fracture: Hand,M80-M85,M80-M85: Disorders of bone density and structure,M80-M85,M80-M85: Disorders of bone density and structure,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8055,17,M8055,M8055: Idiopathic osteoporosis with pathological fracture: Pelvic region and thigh,M80-M85,M80-M85: Disorders of bone density and structure,M80-M85,M80-M85: Disorders of bone density and structure,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8058,34,M8058,M8058: Idiopathic osteoporosis with pathological fracture: Other,M80-M85,M80-M85: Disorders of bone density and structure,M80-M85,M80-M85: Disorders of bone density and structure,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M808,30,M808,M808: Other osteoporosis with pathological fracture,M80-M85,M80-M85: Disorders of bone density and structure,M80-M85,M80-M85: Disorders of bone density and structure,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8080,35,M8080,M8080: Other osteoporosis with pathological fracture: Multiple sites,M80-M85,M80-M85: Disorders of bone density and structure,M80-M85,M80-M85: Disorders of bone density and structure,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
