Der_Activity_Month,ICB_Name_Short,spells
201211,QRV: NHS North West London ICB,156
201401,QNC: NHS Staffordshire & Stoke-On-Tr ICB,27963
201804,NULL,194145
201404,QUA: NHS Black Country ICB,31240
201401,QVV: NHS Dorset ICB,20549
202009,QE1: NHS Lancashire & South Cumbria ICB,43633
201807,QOP: NHS Greater Manchester ICB,80985
201705,QUA: NHS Black Country ICB,36602
201901,QXU: NHS Surrey Heartlands ICB,22978
201811,"QK1: NHS Leics, Leic'shire & Rutland ICB",25227
201407,QMF: NHS North East London ICB,38461
201806,QR1: NHS Gloucestershire ICB,12345
202001,QKK: NHS South East London ICB,38747
201908,QGH: NHS Herefords & Worcestershire ICB,18787
201903,QVV: NHS Dorset ICB,21361
202311,QPM: NHS Northamptonshire ICB,20821
202206,QT1: NHS Nott'ham & Nottinghamshire ICB,26318
202008,"QHG: NHS Beds, Luton & Milton Keynes ICB",16133
201510,QUA: NHS Black Country ICB,33917
201408,QSL: NHS Somerset ICB,11759
201807,QKK: NHS South East London ICB,38173
202105,QHL: NHS Birmingham And Solihull ICB,26527
202410,QNQ: NHS Frimley ICB,15732
202306,QJM: NHS Lincolnshire ICB,16496
201301,QJK: NHS Devon ICB,225
201303,QWE: NHS South West London ICB,25
201212,"QK1: NHS Leics, Leic'shire & Rutland ICB",39
201611,QYG: NHS Cheshire And Merseyside ICB,71638
202209,QWO: NHS West Yorkshire ICB,52732
201401,QRV: NHS North West London ICB,42050
201805,QHM: NHS North East & North Cumbria ICB,74751
201403,QOQ: NHS Humber And North Yorkshire ICB,40735
202407,QWO: NHS West Yorkshire ICB,56475
201504,"QU9: NHS Bucks, Oxford & Berkshire W ICB",29896
201305,"QK1: NHS Leics, Leic'shire & Rutland ICB",20452
201909,QWE: NHS South West London ICB,31222
202402,QH8: NHS Mid And South Essex ICB,27894
201808,QJM: NHS Lincolnshire ICB,17646
201704,QUA: NHS Black Country ICB,33066
201910,QMM: NHS Norfolk And Waveney ICB,31867
201508,QM7: NHS Hertfordshire & West Essex ICB,30384
202408,"QUY: NHS Bristol, N S'set & S Gloucs ICB",23973
201904,QH8: NHS Mid And South Essex ICB,28434
201912,QRL: NHS Hampshire And Isle Of Wight ICB,41063
201401,QJK: NHS Devon ICB,28625
202409,QE1: NHS Lancashire & South Cumbria ICB,57502
201507,"QU9: NHS Bucks, Oxford & Berkshire W ICB",32510
202311,QHL: NHS Birmingham And Solihull ICB,36154
201511,QSL: NHS Somerset ICB,13005
201903,QNC: NHS Staffordshire & Stoke-On-Tr ICB,32163
201402,"QOX: NHS Bath & NE S'set, S'don & W ICB",16401
201912,"QOC: NHS Shrops, Telford & Wrekin ICB",14462
201308,QT6: NHS Cornwall & Isles Of Scilly ICB,11716
200908,QYG: NHS Cheshire And Merseyside ICB,711
200907,QYG: NHS Cheshire And Merseyside ICB,812
201205,QT6: NHS Cornwall & Isles Of Scilly ICB,159
201301,QH8: NHS Mid And South Essex ICB,177
201204,QHL: NHS Birmingham And Solihull ICB,2
202110,NULL,175862
202307,QF7: NHS South Yorkshire ICB,39305
202410,QRV: NHS North West London ICB,57481
201602,QR1: NHS Gloucestershire ICB,12114
202309,QKK: NHS South East London ICB,35181
201907,QH8: NHS Mid And South Essex ICB,30517
201611,"QOX: NHS Bath & NE S'set, S'don & W ICB",18588
202012,QOP: NHS Greater Manchester ICB,63988
202204,QMF: NHS North East London ICB,33740
202403,QWU: NHS Coventry And Warwickshire ICB,25929
202111,QPM: NHS Northamptonshire ICB,18047
202008,QOQ: NHS Humber And North Yorkshire ICB,30856
201602,QM7: NHS Hertfordshire & West Essex ICB,30194
201506,"QK1: NHS Leics, Leic'shire & Rutland ICB",22815
202209,"QOX: NHS Bath & NE S'set, S'don & W ICB",19380
202204,QWU: NHS Coventry And Warwickshire ICB,20770
202104,QH8: NHS Mid And South Essex ICB,24555
202102,"QUY: NHS Bristol, N S'set & S Gloucs ICB",16539
201301,QJ2: NHS Derby And Derbyshire ICB,311
201303,"QK1: NHS Leics, Leic'shire & Rutland ICB",67
201207,"QK1: NHS Leics, Leic'shire & Rutland ICB",45
201211,QF7: NHS South Yorkshire ICB,16
201701,QMJ: NHS North Central London ICB,33950
201408,QGH: NHS Herefords & Worcestershire ICB,15139
202205,QT6: NHS Cornwall & Isles Of Scilly ICB,12931
201712,QRV: NHS North West London ICB,40882
201809,QOP: NHS Greater Manchester ICB,77170
202309,QT6: NHS Cornwall & Isles Of Scilly ICB,14354
201512,QNC: NHS Staffordshire & Stoke-On-Tr ICB,27867
201503,QUA: NHS Black Country ICB,32470
201401,QOP: NHS Greater Manchester ICB,80707
201408,QPM: NHS Northamptonshire ICB,14626
202305,"QHG: NHS Beds, Luton & Milton Keynes ICB",22281
202108,"QUY: NHS Bristol, N S'set & S Gloucs ICB",19716
201910,"QUY: NHS Bristol, N S'set & S Gloucs ICB",23225
202403,QHM: NHS North East & North Cumbria ICB,86213
202005,QE1: NHS Lancashire & South Cumbria ICB,28920
201906,QM7: NHS Hertfordshire & West Essex ICB,33609
202302,QJG: NHS Suffolk & North East Essex ICB,22866
201612,"QOX: NHS Bath & NE S'set, S'don & W ICB",16935
201206,QRV: NHS North West London ICB,173
200905,"QOC: NHS Shrops, Telford & Wrekin ICB",4
202202,QKK: NHS South East London ICB,32519
202203,QHM: NHS North East & North Cumbria ICB,80378
202305,QOP: NHS Greater Manchester ICB,80443
202309,QYG: NHS Cheshire And Merseyside ICB,69029
202310,"QHG: NHS Beds, Luton & Milton Keynes ICB",23090
201609,QKK: NHS South East London ICB,36235
201908,QF7: NHS South Yorkshire ICB,35367
201406,QMF: NHS North East London ICB,36982
201510,QWO: NHS West Yorkshire ICB,59373
202101,QE1: NHS Lancashire & South Cumbria ICB,42138
201906,QHM: NHS North East & North Cumbria ICB,72898
201405,"QU9: NHS Bucks, Oxford & Berkshire W ICB",31350
201308,QJM: NHS Lincolnshire ICB,15459
202403,QXU: NHS Surrey Heartlands ICB,25793
201411,"QK1: NHS Leics, Leic'shire & Rutland ICB",21840
201306,QMF: NHS North East London ICB,36663
202411,QMF: NHS North East London ICB,21553
201803,QHL: NHS Birmingham And Solihull ICB,33942
201309,QMM: NHS Norfolk And Waveney ICB,27274
202410,QM7: NHS Hertfordshire & West Essex ICB,40921
201307,QJG: NHS Suffolk & North East Essex ICB,22534
201306,QWU: NHS Coventry And Warwickshire ICB,17643
201308,QUE: NHS Cambs & Peterborough ICB,17826
201604,QSL: NHS Somerset ICB,12441
201406,QWU: NHS Coventry And Warwickshire ICB,18288
202211,QJ2: NHS Derby And Derbyshire ICB,29054
202012,QJK: NHS Devon ICB,28950
201611,QE1: NHS Lancashire & South Cumbria ICB,51186
202307,QNC: NHS Staffordshire & Stoke-On-Tr ICB,31920
202102,"QOX: NHS Bath & NE S'set, S'don & W ICB",16042
201710,QSL: NHS Somerset ICB,14248
202307,QVV: NHS Dorset ICB,20015
201003,NULL,1413773
201209,NULL,1306376
202001,QOQ: NHS Humber And North Yorkshire ICB,44401
202109,QYG: NHS Cheshire And Merseyside ICB,63859
201610,QOP: NHS Greater Manchester ICB,78324
201404,QWO: NHS West Yorkshire ICB,55380
201612,QYG: NHS Cheshire And Merseyside ICB,66566
202204,QHM: NHS North East & North Cumbria ICB,71459
201712,QJG: NHS Suffolk & North East Essex ICB,22628
201603,QHM: NHS North East & North Cumbria ICB,83985
201712,QKK: NHS South East London ICB,34667
201907,QRL: NHS Hampshire And Isle Of Wight ICB,43598
201408,QHL: NHS Birmingham And Solihull ICB,30097
202112,QMJ: NHS North Central London ICB,30705
202105,QSL: NHS Somerset ICB,14256
201911,"QK1: NHS Leics, Leic'shire & Rutland ICB",24627
202008,QKK: NHS South East London ICB,30569
201810,QGH: NHS Herefords & Worcestershire ICB,19837
202401,QT6: NHS Cornwall & Isles Of Scilly ICB,15910
201503,"QU9: NHS Bucks, Oxford & Berkshire W ICB",33364
201403,QH8: NHS Mid And South Essex ICB,24135
202311,QSL: NHS Somerset ICB,17036
201906,QNQ: NHS Frimley ICB,18528
201307,QJ2: NHS Derby And Derbyshire ICB,23538
202001,QT6: NHS Cornwall & Isles Of Scilly ICB,14998
201206,QOQ: NHS Humber And North Yorkshire ICB,89
201211,QHM: NHS North East & North Cumbria ICB,87
202109,QWU: NHS Coventry And Warwickshire ICB,22873
202406,QR1: NHS Gloucestershire ICB,14640
202109,QGH: NHS Herefords & Worcestershire ICB,19086
202012,QKK: NHS South East London ICB,31312
202111,QYG: NHS Cheshire And Merseyside ICB,66160
202205,QMJ: NHS North Central London ICB,34957
202008,QJK: NHS Devon ICB,24778
201706,"QHG: NHS Beds, Luton & Milton Keynes ICB",21841
201411,QWE: NHS South West London ICB,29927
202302,"QHG: NHS Beds, Luton & Milton Keynes ICB",21077
201308,QMM: NHS Norfolk And Waveney ICB,27604
201511,QMJ: NHS North Central London ICB,35792
201905,QH8: NHS Mid And South Essex ICB,29686
202307,"QOX: NHS Bath & NE S'set, S'don & W ICB",21775
202408,"QOX: NHS Bath & NE S'set, S'don & W ICB",22484
202102,QNC: NHS Staffordshire & Stoke-On-Tr ICB,21164
201903,"QOX: NHS Bath & NE S'set, S'don & W ICB",20613
201401,QPM: NHS Northamptonshire ICB,15617
201507,QJM: NHS Lincolnshire ICB,18626
201405,QR1: NHS Gloucestershire ICB,11696
202403,QMF: NHS North East London ICB,44058
201902,QNQ: NHS Frimley ICB,15229
201605,QH8: NHS Mid And South Essex ICB,25682
202102,QVV: NHS Dorset ICB,14437
201601,QT1: NHS Nott'ham & Nottinghamshire ICB,25548
201503,QR1: NHS Gloucestershire ICB,12021
201207,QJM: NHS Lincolnshire ICB,92
200908,NULL,1208068
200805,NULL,1244479
201402,QNC: NHS Staffordshire & Stoke-On-Tr ICB,25991
201703,QRV: NHS North West London ICB,45222
201802,"QK1: NHS Leics, Leic'shire & Rutland ICB",22153
201703,"QUY: NHS Bristol, N S'set & S Gloucs ICB",22402
202410,QHM: NHS North East & North Cumbria ICB,88026
202010,NULL,188758
201511,QRL: NHS Hampshire And Isle Of Wight ICB,37110
202006,QXU: NHS Surrey Heartlands ICB,14526
202009,QSL: NHS Somerset ICB,12339
202310,QKK: NHS South East London ICB,46369
201701,QJM: NHS Lincolnshire ICB,18083
202012,"QHG: NHS Beds, Luton & Milton Keynes ICB",17193
201401,QKK: NHS South East London ICB,35438
201407,QKS: NHS Kent And Medway ICB,39815
201308,QWE: NHS South West London ICB,28623
201511,"QOC: NHS Shrops, Telford & Wrekin ICB",9978
201606,QJM: NHS Lincolnshire ICB,18123
201604,QPM: NHS Northamptonshire ICB,17040
202401,QWE: NHS South West London ICB,32471
202003,QMJ: NHS North Central London ICB,29717
202402,"QOC: NHS Shrops, Telford & Wrekin ICB",14943
202109,QPM: NHS Northamptonshire ICB,17784
202404,QSL: NHS Somerset ICB,16859
202308,QJM: NHS Lincolnshire ICB,16239
201512,QJK: NHS Devon ICB,27770
201603,QMF: NHS North East London ICB,38426
202208,QH8: NHS Mid And South Essex ICB,25630
202111,QJ2: NHS Derby And Derbyshire ICB,25146
201402,QVV: NHS Dorset ICB,18693
202008,QT6: NHS Cornwall & Isles Of Scilly ICB,11163
201712,QJK: NHS Devon ICB,28066
201211,QM7: NHS Hertfordshire & West Essex ICB,283
201206,QJK: NHS Devon ICB,220
201205,QJK: NHS Devon ICB,238
201208,QF7: NHS South Yorkshire ICB,11
202001,QMJ: NHS North Central London ICB,36952
201604,QHL: NHS Birmingham And Solihull ICB,31745
201610,"QHG: NHS Beds, Luton & Milton Keynes ICB",20439
202005,QSL: NHS Somerset ICB,8083
201808,QHL: NHS Birmingham And Solihull ICB,34854
202408,QR1: NHS Gloucestershire ICB,14901
202004,"QUY: NHS Bristol, N S'set & S Gloucs ICB",10620
201512,QJG: NHS Suffolk & North East Essex ICB,22673
201406,QKS: NHS Kent And Medway ICB,37964
202011,QWE: NHS South West London ICB,28074
202408,QVV: NHS Dorset ICB,22194
201809,"QUY: NHS Bristol, N S'set & S Gloucs ICB",20293
201510,"QOX: NHS Bath & NE S'set, S'don & W ICB",18526
202112,QRL: NHS Hampshire And Isle Of Wight ICB,38784
202208,QSL: NHS Somerset ICB,13989
202207,"QK1: NHS Leics, Leic'shire & Rutland ICB",21679
202004,QVV: NHS Dorset ICB,8904
201306,QKS: NHS Kent And Medway ICB,35987
201310,QR1: NHS Gloucestershire ICB,12187
202004,QR1: NHS Gloucestershire ICB,6687
201702,"QOC: NHS Shrops, Telford & Wrekin ICB",11499
201209,QWO: NHS West Yorkshire ICB,243
201211,QXU: NHS Surrey Heartlands ICB,103
201108,NULL,1345807
202406,QUA: NHS Black Country ICB,25182
202306,QJ2: NHS Derby And Derbyshire ICB,28899
202012,QOQ: NHS Humber And North Yorkshire ICB,33395
202205,QUE: NHS Cambs & Peterborough ICB,19385
201806,QMF: NHS North East London ICB,40489
201510,QYG: NHS Cheshire And Merseyside ICB,73452
201607,QMM: NHS Norfolk And Waveney ICB,29592
202110,QYG: NHS Cheshire And Merseyside ICB,64427
201810,QPM: NHS Northamptonshire ICB,19892
201804,QYG: NHS Cheshire And Merseyside ICB,67861
202402,QMJ: NHS North Central London ICB,35501
202211,QE1: NHS Lancashire & South Cumbria ICB,57093
202202,"QHG: NHS Beds, Luton & Milton Keynes ICB",19454
201304,QWE: NHS South West London ICB,28968
202210,QKS: NHS Kent And Medway ICB,42846
201404,QYG: NHS Cheshire And Merseyside ICB,65081
201707,QT1: NHS Nott'ham & Nottinghamshire ICB,26099
201407,QH8: NHS Mid And South Essex ICB,25758
201410,QSL: NHS Somerset ICB,13598
201809,QMM: NHS Norfolk And Waveney ICB,27720
201904,QJM: NHS Lincolnshire ICB,17479
201908,QSL: NHS Somerset ICB,13865
202004,QNC: NHS Staffordshire & Stoke-On-Tr ICB,14236
201403,QNQ: NHS Frimley ICB,15384
202003,"QOC: NHS Shrops, Telford & Wrekin ICB",12398
202012,QT6: NHS Cornwall & Isles Of Scilly ICB,12143
201302,QWO: NHS West Yorkshire ICB,322
201205,QOQ: NHS Humber And North Yorkshire ICB,46
202010,QYG: NHS Cheshire And Merseyside ICB,60884
202410,QXU: NHS Surrey Heartlands ICB,27454
202109,QJ2: NHS Derby And Derbyshire ICB,24691
202008,QRV: NHS North West London ICB,34495
202306,QHL: NHS Birmingham And Solihull ICB,34351
202010,QMM: NHS Norfolk And Waveney ICB,25701
202007,NULL,163153
201401,QF7: NHS South Yorkshire ICB,35961
202409,QSL: NHS Somerset ICB,16687
201505,QJG: NHS Suffolk & North East Essex ICB,21823
201311,QSL: NHS Somerset ICB,13191
201903,QF7: NHS South Yorkshire ICB,36543
202004,"QOX: NHS Bath & NE S'set, S'don & W ICB",9826
202106,"QHG: NHS Beds, Luton & Milton Keynes ICB",22920
201611,QWU: NHS Coventry And Warwickshire ICB,20960
201701,QJ2: NHS Derby And Derbyshire ICB,24522
201403,QJK: NHS Devon ICB,28582
202203,QF7: NHS South Yorkshire ICB,36365
201812,"QU9: NHS Bucks, Oxford & Berkshire W ICB",32926
202405,QPM: NHS Northamptonshire ICB,21729
202405,QHL: NHS Birmingham And Solihull ICB,36617
202011,QJM: NHS Lincolnshire ICB,13627
201712,"QHG: NHS Beds, Luton & Milton Keynes ICB",20189
202402,QSL: NHS Somerset ICB,16439
201612,QWU: NHS Coventry And Warwickshire ICB,19333
201907,"QOC: NHS Shrops, Telford & Wrekin ICB",15462
201907,QSL: NHS Somerset ICB,14962
202307,QUA: NHS Black Country ICB,23945
202112,"QOC: NHS Shrops, Telford & Wrekin ICB",13288
201505,"QUY: NHS Bristol, N S'set & S Gloucs ICB",18840
202112,QJM: NHS Lincolnshire ICB,15936
202405,QGH: NHS Herefords & Worcestershire ICB,21368
201210,QMM: NHS Norfolk And Waveney ICB,2
201910,QOP: NHS Greater Manchester ICB,87248
201612,QE1: NHS Lancashire & South Cumbria ICB,47880
201907,QMJ: NHS North Central London ICB,38474
201710,QHL: NHS Birmingham And Solihull ICB,34243
201701,QH8: NHS Mid And South Essex ICB,25844
202310,QOP: NHS Greater Manchester ICB,82388
201403,QKS: NHS Kent And Medway ICB,39260
201409,QXU: NHS Surrey Heartlands ICB,19787
202312,QRL: NHS Hampshire And Isle Of Wight ICB,41746
202108,QOP: NHS Greater Manchester ICB,73550
201308,"QK1: NHS Leics, Leic'shire & Rutland ICB",19510
201404,"QOX: NHS Bath & NE S'set, S'don & W ICB",16830
201310,"QOX: NHS Bath & NE S'set, S'don & W ICB",18380
201909,QT6: NHS Cornwall & Isles Of Scilly ICB,14174
201503,"QUY: NHS Bristol, N S'set & S Gloucs ICB",19891
201211,QJK: NHS Devon ICB,220
201209,QYG: NHS Cheshire And Merseyside ICB,30
201207,QRL: NHS Hampshire And Isle Of Wight ICB,14
200911,QOP: NHS Greater Manchester ICB,54
201802,QUE: NHS Cambs & Peterborough ICB,17632
201703,QNQ: NHS Frimley ICB,16574
201206,QNQ: NHS Frimley ICB,6
200907,QWO: NHS West Yorkshire ICB,13
201210,QNX: NHS Sussex ICB,8
201205,QMJ: NHS North Central London ICB,5
200909,QWO: NHS West Yorkshire ICB,4
201004,"QU9: NHS Bucks, Oxford & Berkshire W ICB",2
201204,QNX: NHS Sussex ICB,2
201211,QNQ: NHS Frimley ICB,5
201301,QMJ: NHS North Central London ICB,4
201201,QWO: NHS West Yorkshire ICB,1
200904,QJ2: NHS Derby And Derbyshire ICB,1
200912,QVV: NHS Dorset ICB,1
201209,QKK: NHS South East London ICB,4
200908,QR1: NHS Gloucestershire ICB,1
202406,QNX: NHS Sussex ICB,42104
202007,QRL: NHS Hampshire And Isle Of Wight ICB,32669
202208,QWU: NHS Coventry And Warwickshire ICB,22546
202205,NULL,186043
201704,NULL,179879
202003,QYG: NHS Cheshire And Merseyside ICB,61648
202009,"QK1: NHS Leics, Leic'shire & Rutland ICB",21151
201705,QE1: NHS Lancashire & South Cumbria ICB,52692
202101,QJ2: NHS Derby And Derbyshire ICB,20362
201803,QT6: NHS Cornwall & Isles Of Scilly ICB,14128
202009,QRL: NHS Hampshire And Isle Of Wight ICB,36439
202204,QRL: NHS Hampshire And Isle Of Wight ICB,35727
201602,QT1: NHS Nott'ham & Nottinghamshire ICB,25968
202002,QT1: NHS Nott'ham & Nottinghamshire ICB,26391
201603,QRL: NHS Hampshire And Isle Of Wight ICB,37919
201904,QR1: NHS Gloucestershire ICB,13637
202111,QNC: NHS Staffordshire & Stoke-On-Tr ICB,28679
201403,QSL: NHS Somerset ICB,13744
201603,"QOC: NHS Shrops, Telford & Wrekin ICB",12071
202108,QPM: NHS Northamptonshire ICB,16306
201208,QE1: NHS Lancashire & South Cumbria ICB,318
201302,QWU: NHS Coventry And Warwickshire ICB,2
202003,QWO: NHS West Yorkshire ICB,48166
201706,"QU9: NHS Bucks, Oxford & Berkshire W ICB",34519
201807,QRV: NHS North West London ICB,44550
201312,"QK1: NHS Leics, Leic'shire & Rutland ICB",19798
202304,QT6: NHS Cornwall & Isles Of Scilly ICB,13256
201710,"QHG: NHS Beds, Luton & Milton Keynes ICB",21562
202008,QSL: NHS Somerset ICB,10865
201405,QOP: NHS Greater Manchester ICB,78779
202202,QRV: NHS North West London ICB,40202
202208,QMF: NHS North East London ICB,36062
202001,QRV: NHS North West London ICB,47942
202409,QUE: NHS Cambs & Peterborough ICB,13510
201609,QGH: NHS Herefords & Worcestershire ICB,15868
201609,QPM: NHS Northamptonshire ICB,17607
202408,"QU9: NHS Bucks, Oxford & Berkshire W ICB",37132
201602,QNX: NHS Sussex ICB,35792
201606,"QHG: NHS Beds, Luton & Milton Keynes ICB",20427
201601,QJK: NHS Devon ICB,27171
201607,QUE: NHS Cambs & Peterborough ICB,19364
201712,QNQ: NHS Frimley ICB,14754
202107,QUA: NHS Black Country ICB,32684
202106,QR1: NHS Gloucestershire ICB,14294
202104,QR1: NHS Gloucestershire ICB,13013
201303,QXU: NHS Surrey Heartlands ICB,157
201205,QVV: NHS Dorset ICB,63
201303,QJM: NHS Lincolnshire ICB,233
201205,QNC: NHS Staffordshire & Stoke-On-Tr ICB,33
202306,"QHG: NHS Beds, Luton & Milton Keynes ICB",22493
201308,NULL,157521
202007,QMJ: NHS North Central London ICB,29685
201711,"QHG: NHS Beds, Luton & Milton Keynes ICB",22215
201507,QOQ: NHS Humber And North Yorkshire ICB,41123
201603,QMJ: NHS North Central London ICB,36542
202203,QJ2: NHS Derby And Derbyshire ICB,26606
201709,QXU: NHS Surrey Heartlands ICB,20857
202101,QM7: NHS Hertfordshire & West Essex ICB,22856
201402,QF7: NHS South Yorkshire ICB,32761
201705,QJ2: NHS Derby And Derbyshire ICB,25165
202001,QNC: NHS Staffordshire & Stoke-On-Tr ICB,31588
202204,QJM: NHS Lincolnshire ICB,15612
202104,QM7: NHS Hertfordshire & West Essex ICB,31030
202308,QOQ: NHS Humber And North Yorkshire ICB,47604
201410,QWU: NHS Coventry And Warwickshire ICB,19600
202309,QGH: NHS Herefords & Worcestershire ICB,19629
202207,QKS: NHS Kent And Medway ICB,42540
201401,QNQ: NHS Frimley ICB,15138
201308,QNX: NHS Sussex ICB,32112
202302,"QUY: NHS Bristol, N S'set & S Gloucs ICB",20617
202210,QT1: NHS Nott'ham & Nottinghamshire ICB,26539
201003,QE1: NHS Lancashire & South Cumbria ICB,109
201207,NULL,1397905
200810,NULL,1324971
202301,QKS: NHS Kent And Medway ICB,42222
201502,QH8: NHS Mid And South Essex ICB,22928
201707,QNC: NHS Staffordshire & Stoke-On-Tr ICB,29579
201903,QHM: NHS North East & North Cumbria ICB,74300
201505,NULL,182237
201401,QE1: NHS Lancashire & South Cumbria ICB,48432
202309,QRV: NHS North West London ICB,46808
202304,QUA: NHS Black Country ICB,21267
201811,QXU: NHS Surrey Heartlands ICB,23091
201307,QVV: NHS Dorset ICB,20627
202312,QWE: NHS South West London ICB,29328
202309,QPM: NHS Northamptonshire ICB,19195
202303,QMJ: NHS North Central London ICB,35821
202308,NULL,206515
202206,QJK: NHS Devon ICB,33188
202211,QJM: NHS Lincolnshire ICB,18374
202205,QWO: NHS West Yorkshire ICB,51932
201806,"QU9: NHS Bucks, Oxford & Berkshire W ICB",34756
202404,QXU: NHS Surrey Heartlands ICB,26142
